Number of Records,Year_Wind,Values_Wind,Countries
1,01/01/1966,,Lithuania
1,01/01/1966,0,Luxembourg
1,01/01/1966,0,Netherlands
1,01/01/1966,,North Macedonia
1,01/01/1966,0,Norway
1,01/01/1966,0,Poland
1,01/01/1966,0,Portugal
1,01/01/1966,0,Romania
1,01/01/1966,0,Slovakia
1,01/01/1966,,Slovenia
1,01/01/1966,0,Spain
1,01/01/1966,0,Sweden
1,01/01/1966,0,Switzerland
1,01/01/1966,0,Turkey
1,01/01/1966,0,Ukraine
1,01/01/1966,0,United Kingdom
1,01/01/1966,,Azerbaijan
1,01/01/1966,,Belarus
1,01/01/1966,,Kazakhstan
1,01/01/1966,,Russian Federation
1,01/01/1966,,Turkmenistan
1,01/01/1966,0,USSR
1,01/01/1966,,Uzbekistan
1,01/01/1966,0,Iran
1,01/01/1966,0,Iraq
1,01/01/1966,0,Israel
1,01/01/1966,0,Kuwait
1,01/01/1966,0,Oman
1,01/01/1966,0,Qatar
1,01/01/1966,0,Saudi Arabia
1,01/01/1966,0,United Arab Emirates
1,01/01/1966,0,Algeria
1,01/01/1966,0,Egypt
1,01/01/1966,0,Morocco
1,01/01/1966,0,South Africa
1,01/01/1966,0,Eastern Africa
1,01/01/1966,0,Australia
1,01/01/1966,0,Bangladesh
1,01/01/1966,0,China
1,01/01/1966,0,China Hong Kong SAR
1,01/01/1966,0,India
1,01/01/1966,0,Indonesia
1,01/01/1966,0,Japan
1,01/01/1966,0,Malaysia
1,01/01/1966,0,New Zealand
1,01/01/1966,0,Pakistan
1,01/01/1966,0,Philippines
1,01/01/1966,0,Singapore
1,01/01/1966,0,South Korea
1,01/01/1966,0,Sri Lanka
1,01/01/1966,0,Taiwan
1,01/01/1966,0,Thailand
1,01/01/1966,0,Vietnam
1,01/01/1967,0,Canada
1,01/01/1967,0,Mexico
1,01/01/1967,0,US
1,01/01/1967,0,Argentina
1,01/01/1967,0,Brazil
1,01/01/1967,0,Chile
1,01/01/1967,0,Colombia
1,01/01/1967,0,Ecuador
1,01/01/1967,0,Peru
1,01/01/1967,0,Trinidad & Tobago
1,01/01/1967,0,Venezuela
1,01/01/1967,0,Austria
1,01/01/1967,0,Belgium
1,01/01/1967,0,Bulgaria
1,01/01/1967,,Croatia
1,01/01/1967,0,Cyprus
1,01/01/1967,0,Czech Republic
1,01/01/1967,0,Denmark
1,01/01/1967,,Estonia
1,01/01/1967,0,Finland
1,01/01/1967,0,France
1,01/01/1967,0,Germany
1,01/01/1967,0,Greece
1,01/01/1967,0,Hungary
1,01/01/1967,0,Iceland
1,01/01/1967,0,Ireland
1,01/01/1967,0,Italy
1,01/01/1967,,Latvia
1,01/01/1967,,Lithuania
1,01/01/1967,0,Luxembourg
1,01/01/1967,0,Netherlands
1,01/01/1967,,North Macedonia
1,01/01/1967,0,Norway
1,01/01/1967,0,Poland
1,01/01/1967,0,Portugal
1,01/01/1967,0,Romania
1,01/01/1967,0,Slovakia
1,01/01/1967,,Slovenia
1,01/01/1967,0,Spain
1,01/01/1967,0,Sweden
1,01/01/1967,0,Switzerland
1,01/01/1967,0,Turkey
1,01/01/1967,0,Ukraine
1,01/01/1967,0,United Kingdom
1,01/01/1967,,Azerbaijan
1,01/01/1967,,Belarus
1,01/01/1967,,Kazakhstan
1,01/01/1967,,Russian Federation
1,01/01/1967,,Turkmenistan
1,01/01/1967,0,USSR
1,01/01/1967,,Uzbekistan
1,01/01/1967,0,Iran
1,01/01/1967,0,Iraq
1,01/01/1967,0,Israel
1,01/01/1967,0,Kuwait
1,01/01/1967,0,Oman
1,01/01/1967,0,Qatar
1,01/01/1967,0,Saudi Arabia
1,01/01/1967,0,United Arab Emirates
1,01/01/1967,0,Algeria
1,01/01/1967,0,Egypt
1,01/01/1967,0,Morocco
1,01/01/1967,0,South Africa
1,01/01/1967,0,Eastern Africa
1,01/01/1967,0,Australia
1,01/01/1967,0,Bangladesh
1,01/01/1967,0,China
1,01/01/1967,0,China Hong Kong SAR
1,01/01/1967,0,India
1,01/01/1967,0,Indonesia
1,01/01/1967,0,Japan
1,01/01/1967,0,Malaysia
1,01/01/1967,0,New Zealand
1,01/01/1967,0,Pakistan
1,01/01/1967,0,Philippines
1,01/01/1967,0,Singapore
1,01/01/1967,0,South Korea
1,01/01/1967,0,Sri Lanka
1,01/01/1967,0,Taiwan
1,01/01/1967,0,Thailand
1,01/01/1967,0,Vietnam
1,01/01/1968,0,Canada
1,01/01/1968,0,Mexico
1,01/01/1968,0,US
1,01/01/1968,0,Argentina
1,01/01/1968,0,Brazil
1,01/01/1968,0,Chile
1,01/01/1968,0,Colombia
1,01/01/1968,0,Ecuador
1,01/01/1968,0,Peru
1,01/01/1968,0,Trinidad & Tobago
1,01/01/1968,0,Venezuela
1,01/01/1968,0,Austria
1,01/01/1968,0,Belgium
1,01/01/1968,0,Bulgaria
1,01/01/1968,,Croatia
1,01/01/1968,0,Cyprus
1,01/01/1968,0,Czech Republic
1,01/01/1968,0,Denmark
1,01/01/1968,,Estonia
1,01/01/1968,0,Finland
1,01/01/1968,0,France
1,01/01/1968,0,Germany
1,01/01/1968,0,Greece
1,01/01/1968,0,Hungary
1,01/01/1968,0,Iceland
1,01/01/1968,0,Ireland
1,01/01/1968,0,Italy
1,01/01/1968,,Latvia
1,01/01/1968,,Lithuania
1,01/01/1968,0,Luxembourg
1,01/01/1968,0,Netherlands
1,01/01/1968,,North Macedonia
1,01/01/1968,0,Norway
1,01/01/1968,0,Poland
1,01/01/1968,0,Portugal
1,01/01/1968,0,Romania
1,01/01/1968,0,Slovakia
1,01/01/1968,,Slovenia
1,01/01/1968,0,Spain
1,01/01/1968,0,Sweden
1,01/01/1968,0,Switzerland
1,01/01/1968,0,Turkey
1,01/01/1968,0,Ukraine
1,01/01/1968,0,United Kingdom
1,01/01/1968,,Azerbaijan
1,01/01/1968,,Belarus
1,01/01/1968,,Kazakhstan
1,01/01/1968,,Russian Federation
1,01/01/1968,,Turkmenistan
1,01/01/1968,0,USSR
1,01/01/1968,,Uzbekistan
1,01/01/1968,0,Iran
1,01/01/1968,0,Iraq
1,01/01/1968,0,Israel
1,01/01/1968,0,Kuwait
1,01/01/1968,0,Oman
1,01/01/1968,0,Qatar
1,01/01/1968,0,Saudi Arabia
1,01/01/1968,0,United Arab Emirates
1,01/01/1968,0,Algeria
1,01/01/1968,0,Egypt
1,01/01/1968,0,Morocco
1,01/01/1968,0,South Africa
1,01/01/1968,0,Eastern Africa
1,01/01/1968,0,Australia
1,01/01/1968,0,Bangladesh
1,01/01/1968,0,China
1,01/01/1968,0,China Hong Kong SAR
1,01/01/1968,0,India
1,01/01/1968,0,Indonesia
1,01/01/1968,0,Japan
1,01/01/1968,0,Malaysia
1,01/01/1968,0,New Zealand
1,01/01/1968,0,Pakistan
1,01/01/1968,0,Philippines
1,01/01/1968,0,Singapore
1,01/01/1968,0,South Korea
1,01/01/1968,0,Sri Lanka
1,01/01/1968,0,Taiwan
1,01/01/1968,0,Thailand
1,01/01/1968,0,Vietnam
1,01/01/1969,0,Canada
1,01/01/1969,0,Mexico
1,01/01/1969,0,US
1,01/01/1969,0,Argentina
1,01/01/1969,0,Brazil
1,01/01/1969,0,Chile
1,01/01/1969,0,Colombia
1,01/01/1969,0,Ecuador
1,01/01/1969,0,Peru
1,01/01/1969,0,Trinidad & Tobago
1,01/01/1969,0,Venezuela
1,01/01/1969,0,Austria
1,01/01/1969,0,Belgium
1,01/01/1969,0,Bulgaria
1,01/01/1969,,Croatia
1,01/01/1969,0,Cyprus
1,01/01/1969,0,Czech Republic
1,01/01/1969,0,Denmark
1,01/01/1969,,Estonia
1,01/01/1969,0,Finland
1,01/01/1969,0,France
1,01/01/1969,0,Germany
1,01/01/1969,0,Greece
1,01/01/1969,0,Hungary
1,01/01/1969,0,Iceland
1,01/01/1969,0,Ireland
1,01/01/1969,0,Italy
1,01/01/1969,,Latvia
1,01/01/1969,,Lithuania
1,01/01/1969,0,Luxembourg
1,01/01/1969,0,Netherlands
1,01/01/1969,,North Macedonia
1,01/01/1969,0,Norway
1,01/01/1969,0,Poland
1,01/01/1969,0,Portugal
1,01/01/1969,0,Romania
1,01/01/1969,0,Slovakia
1,01/01/1969,,Slovenia
1,01/01/1969,0,Spain
1,01/01/1969,0,Sweden
1,01/01/1969,0,Switzerland
1,01/01/1969,0,Turkey
1,01/01/1969,0,Ukraine
1,01/01/1969,0,United Kingdom
1,01/01/1969,,Azerbaijan
1,01/01/1969,,Belarus
1,01/01/1969,,Kazakhstan
1,01/01/1969,,Russian Federation
1,01/01/1969,,Turkmenistan
1,01/01/1969,0,USSR
1,01/01/1969,,Uzbekistan
1,01/01/1969,0,Iran
1,01/01/1969,0,Iraq
1,01/01/1969,0,Israel
1,01/01/1969,0,Kuwait
1,01/01/1969,0,Oman
1,01/01/1969,0,Qatar
1,01/01/1969,0,Saudi Arabia
1,01/01/1969,0,United Arab Emirates
1,01/01/1969,0,Algeria
1,01/01/1969,0,Egypt
1,01/01/1969,0,Morocco
1,01/01/1969,0,South Africa
1,01/01/1969,0,Eastern Africa
1,01/01/1969,0,Australia
1,01/01/1969,0,Bangladesh
1,01/01/1969,0,China
1,01/01/1969,0,China Hong Kong SAR
1,01/01/1969,0,India
1,01/01/1969,0,Indonesia
1,01/01/1969,0,Japan
1,01/01/1969,0,Malaysia
1,01/01/1969,0,New Zealand
1,01/01/1969,0,Pakistan
1,01/01/1969,0,Philippines
1,01/01/1969,0,Singapore
1,01/01/1969,0,South Korea
1,01/01/1969,0,Sri Lanka
1,01/01/1969,0,Taiwan
1,01/01/1969,0,Thailand
1,01/01/1969,0,Vietnam
1,01/01/1970,0,Canada
1,01/01/1970,0,Mexico
1,01/01/1970,0,US
1,01/01/1970,0,Argentina
1,01/01/1970,0,Brazil
1,01/01/1970,0,Chile
1,01/01/1970,0,Colombia
1,01/01/1970,0,Ecuador
1,01/01/1970,0,Peru
1,01/01/1970,0,Trinidad & Tobago
1,01/01/1970,0,Venezuela
1,01/01/1970,0,Austria
1,01/01/1970,0,Belgium
1,01/01/1970,0,Bulgaria
1,01/01/1970,,Croatia
1,01/01/1970,0,Cyprus
1,01/01/1970,0,Czech Republic
1,01/01/1970,0,Denmark
1,01/01/1970,,Estonia
1,01/01/1970,0,Finland
1,01/01/1970,0,France
1,01/01/1970,0,Germany
1,01/01/1970,0,Greece
1,01/01/1970,0,Hungary
1,01/01/1970,0,Iceland
1,01/01/1970,0,Ireland
1,01/01/1970,0,Italy
1,01/01/1970,,Latvia
1,01/01/1970,,Lithuania
1,01/01/1970,0,Luxembourg
1,01/01/1970,0,Netherlands
1,01/01/1970,,North Macedonia
1,01/01/1970,0,Norway
1,01/01/1970,0,Poland
1,01/01/1970,0,Portugal
1,01/01/1970,0,Romania
1,01/01/1970,0,Slovakia
1,01/01/1970,,Slovenia
1,01/01/1970,0,Spain
1,01/01/1970,0,Sweden
1,01/01/1970,0,Switzerland
1,01/01/1970,0,Turkey
1,01/01/1970,0,Ukraine
1,01/01/1970,0,United Kingdom
1,01/01/1970,,Azerbaijan
1,01/01/1970,,Belarus
1,01/01/1970,,Kazakhstan
1,01/01/1970,,Russian Federation
1,01/01/1970,,Turkmenistan
1,01/01/1970,0,USSR
1,01/01/1970,,Uzbekistan
1,01/01/1970,0,Iran
1,01/01/1970,0,Iraq
1,01/01/1970,0,Israel
1,01/01/1970,0,Kuwait
1,01/01/1970,0,Oman
1,01/01/1970,0,Qatar
1,01/01/1970,0,Saudi Arabia
1,01/01/1970,0,United Arab Emirates
1,01/01/1970,0,Algeria
1,01/01/1970,0,Egypt
1,01/01/1970,0,Morocco
1,01/01/1970,0,South Africa
1,01/01/1970,0,Eastern Africa
1,01/01/1970,0,Australia
1,01/01/1970,0,Bangladesh
1,01/01/1970,0,China
1,01/01/1970,0,China Hong Kong SAR
1,01/01/1970,0,India
1,01/01/1970,0,Indonesia
1,01/01/1970,0,Japan
1,01/01/1970,0,Malaysia
1,01/01/1970,0,New Zealand
1,01/01/1970,0,Pakistan
1,01/01/1970,0,Philippines
1,01/01/1970,0,Singapore
1,01/01/1970,0,South Korea
1,01/01/1970,0,Sri Lanka
1,01/01/1970,0,Taiwan
1,01/01/1970,0,Thailand
1,01/01/1970,0,Vietnam
1,01/01/1971,0,Canada
1,01/01/1971,0,Mexico
1,01/01/1971,0,US
1,01/01/1971,0,Argentina
1,01/01/1971,0,Brazil
1,01/01/1971,0,Chile
1,01/01/1971,0,Colombia
1,01/01/1971,0,Ecuador
1,01/01/1971,0,Peru
1,01/01/1971,0,Trinidad & Tobago
1,01/01/1971,0,Venezuela
1,01/01/1971,0,Austria
1,01/01/1971,0,Belgium
1,01/01/1971,0,Bulgaria
1,01/01/1971,,Croatia
1,01/01/1971,0,Cyprus
1,01/01/1971,0,Czech Republic
1,01/01/1971,0,Denmark
1,01/01/1971,,Estonia
1,01/01/1971,0,Finland
1,01/01/1971,0,France
1,01/01/1971,0,Germany
1,01/01/1971,0,Greece
1,01/01/1971,0,Hungary
1,01/01/1971,0,Iceland
1,01/01/1971,0,Ireland
1,01/01/1971,0,Italy
1,01/01/1971,,Latvia
1,01/01/1971,,Lithuania
1,01/01/1971,0,Luxembourg
1,01/01/1971,0,Netherlands
1,01/01/1971,,North Macedonia
1,01/01/1971,0,Norway
1,01/01/1971,0,Poland
1,01/01/1971,0,Portugal
1,01/01/1971,0,Romania
1,01/01/1971,0,Slovakia
1,01/01/1971,,Slovenia
1,01/01/1971,0,Spain
1,01/01/1971,0,Sweden
1,01/01/1971,0,Switzerland
1,01/01/1971,0,Turkey
1,01/01/1971,0,Ukraine
1,01/01/1971,0,United Kingdom
1,01/01/1971,,Azerbaijan
1,01/01/1971,,Belarus
1,01/01/1971,,Kazakhstan
1,01/01/1971,,Russian Federation
1,01/01/1971,,Turkmenistan
1,01/01/1971,0,USSR
1,01/01/1971,,Uzbekistan
1,01/01/1971,0,Iran
1,01/01/1971,0,Iraq
1,01/01/1971,0,Israel
1,01/01/1971,0,Kuwait
1,01/01/1971,0,Oman
1,01/01/1971,0,Qatar
1,01/01/1971,0,Saudi Arabia
1,01/01/1971,0,United Arab Emirates
1,01/01/1971,0,Algeria
1,01/01/1971,0,Egypt
1,01/01/1971,0,Morocco
1,01/01/1971,0,South Africa
1,01/01/1971,0,Eastern Africa
1,01/01/1971,0,Australia
1,01/01/1971,0,Bangladesh
1,01/01/1971,0,China
1,01/01/1971,0,China Hong Kong SAR
1,01/01/1971,0,India
1,01/01/1971,0,Indonesia
1,01/01/1971,0,Japan
1,01/01/1971,0,Malaysia
1,01/01/1971,0,New Zealand
1,01/01/1971,0,Pakistan
1,01/01/1971,0,Philippines
1,01/01/1971,0,Singapore
1,01/01/1971,0,South Korea
1,01/01/1971,0,Sri Lanka
1,01/01/1971,0,Taiwan
1,01/01/1971,0,Thailand
1,01/01/1971,0,Vietnam
1,01/01/1972,0,Canada
1,01/01/1972,0,Mexico
1,01/01/1972,0,US
1,01/01/1972,0,Argentina
1,01/01/1972,0,Brazil
1,01/01/1972,0,Chile
1,01/01/1972,0,Colombia
1,01/01/1972,0,Ecuador
1,01/01/1972,0,Peru
1,01/01/1972,0,Trinidad & Tobago
1,01/01/1972,0,Venezuela
1,01/01/1972,0,Austria
1,01/01/1972,0,Belgium
1,01/01/1972,0,Bulgaria
1,01/01/1972,,Croatia
1,01/01/1972,0,Cyprus
1,01/01/1972,0,Czech Republic
1,01/01/1972,0,Denmark
1,01/01/1972,,Estonia
1,01/01/1972,0,Finland
1,01/01/1972,0,France
1,01/01/1972,0,Germany
1,01/01/1972,0,Greece
1,01/01/1972,0,Hungary
1,01/01/1972,0,Iceland
1,01/01/1972,0,Ireland
1,01/01/1972,0,Italy
1,01/01/1972,,Latvia
1,01/01/1972,,Lithuania
1,01/01/1972,0,Luxembourg
1,01/01/1972,0,Netherlands
1,01/01/1972,,North Macedonia
1,01/01/1972,0,Norway
1,01/01/1972,0,Poland
1,01/01/1972,0,Portugal
1,01/01/1972,0,Romania
1,01/01/1972,0,Slovakia
1,01/01/1972,,Slovenia
1,01/01/1972,0,Spain
1,01/01/1972,0,Sweden
1,01/01/1972,0,Switzerland
1,01/01/1972,0,Turkey
1,01/01/1972,0,Ukraine
1,01/01/1972,0,United Kingdom
1,01/01/1972,,Azerbaijan
1,01/01/1972,,Belarus
1,01/01/1972,,Kazakhstan
1,01/01/1972,,Russian Federation
1,01/01/1972,,Turkmenistan
1,01/01/1972,0,USSR
1,01/01/1972,,Uzbekistan
1,01/01/1972,0,Iran
1,01/01/1972,0,Iraq
1,01/01/1972,0,Israel
1,01/01/1972,0,Kuwait
1,01/01/1972,0,Oman
1,01/01/1972,0,Qatar
1,01/01/1972,0,Saudi Arabia
1,01/01/1972,0,United Arab Emirates
1,01/01/1972,0,Algeria
1,01/01/1972,0,Egypt
1,01/01/1972,0,Morocco
1,01/01/1972,0,South Africa
1,01/01/1972,0,Eastern Africa
1,01/01/1972,0,Australia
1,01/01/1972,0,Bangladesh
1,01/01/1972,0,China
1,01/01/1972,0,China Hong Kong SAR
1,01/01/1972,0,India
1,01/01/1972,0,Indonesia
1,01/01/1972,0,Japan
1,01/01/1972,0,Malaysia
1,01/01/1972,0,New Zealand
1,01/01/1972,0,Pakistan
1,01/01/1972,0,Philippines
1,01/01/1972,0,Singapore
1,01/01/1972,0,South Korea
1,01/01/1972,0,Sri Lanka
1,01/01/1972,0,Taiwan
1,01/01/1972,0,Thailand
1,01/01/1972,0,Vietnam
1,01/01/1974,0,Canada
1,01/01/1974,0,Mexico
1,01/01/1974,0,US
1,01/01/1974,0,Argentina
1,01/01/1974,0,Brazil
1,01/01/1974,0,Chile
1,01/01/1974,0,Colombia
1,01/01/1974,0,Ecuador
1,01/01/1974,0,Peru
1,01/01/1974,0,Trinidad & Tobago
1,01/01/1974,0,Venezuela
1,01/01/1974,0,Austria
1,01/01/1974,0,Belgium
1,01/01/1974,0,Bulgaria
1,01/01/1974,,Croatia
1,01/01/1974,0,Cyprus
1,01/01/1974,0,Czech Republic
1,01/01/1974,0,Denmark
1,01/01/1974,,Estonia
1,01/01/1974,0,Finland
1,01/01/1974,0,France
1,01/01/1974,0,Germany
1,01/01/1974,0,Greece
1,01/01/1974,0,Hungary
1,01/01/1974,0,Iceland
1,01/01/1974,0,Ireland
1,01/01/1974,0,Italy
1,01/01/1974,,Latvia
1,01/01/1974,,Lithuania
1,01/01/1974,0,Luxembourg
1,01/01/1974,0,Netherlands
1,01/01/1974,,North Macedonia
1,01/01/1974,0,Norway
1,01/01/1974,0,Poland
1,01/01/1974,0,Portugal
1,01/01/1974,0,Romania
1,01/01/1974,0,Slovakia
1,01/01/1974,,Slovenia
1,01/01/1974,0,Spain
1,01/01/1974,0,Sweden
1,01/01/1974,0,Switzerland
1,01/01/1974,0,Turkey
1,01/01/1974,0,Ukraine
1,01/01/1974,0,United Kingdom
1,01/01/1974,,Azerbaijan
1,01/01/1974,,Belarus
1,01/01/1974,,Kazakhstan
1,01/01/1974,,Russian Federation
1,01/01/1974,,Turkmenistan
1,01/01/1974,0,USSR
1,01/01/1974,,Uzbekistan
1,01/01/1974,0,Iran
1,01/01/1974,0,Iraq
1,01/01/1974,0,Israel
1,01/01/1974,0,Kuwait
1,01/01/1974,0,Oman
1,01/01/1974,0,Qatar
1,01/01/1974,0,Saudi Arabia
1,01/01/1974,0,United Arab Emirates
1,01/01/1974,0,Algeria
1,01/01/1974,0,Egypt
1,01/01/1974,0,Morocco
1,01/01/1974,0,South Africa
1,01/01/1974,0,Eastern Africa
1,01/01/1974,0,Australia
1,01/01/1974,0,Bangladesh
1,01/01/1974,0,China
1,01/01/1974,0,China Hong Kong SAR
1,01/01/1974,0,India
1,01/01/1974,0,Indonesia
1,01/01/1974,0,Japan
1,01/01/1974,0,Malaysia
1,01/01/1974,0,New Zealand
1,01/01/1974,0,Pakistan
1,01/01/1974,0,Philippines
1,01/01/1974,0,Singapore
1,01/01/1974,0,South Korea
1,01/01/1974,0,Sri Lanka
1,01/01/1974,0,Taiwan
1,01/01/1974,0,Thailand
1,01/01/1974,0,Vietnam
1,01/01/1975,0,Canada
1,01/01/1975,0,Mexico
1,01/01/1975,0,US
1,01/01/1975,0,Argentina
1,01/01/1975,0,Brazil
1,01/01/1975,0,Chile
1,01/01/1975,0,Colombia
1,01/01/1975,0,Ecuador
1,01/01/1975,0,Peru
1,01/01/1975,0,Trinidad & Tobago
1,01/01/1975,0,Venezuela
1,01/01/1975,0,Austria
1,01/01/1975,0,Belgium
1,01/01/1975,0,Bulgaria
1,01/01/1975,,Croatia
1,01/01/1975,0,Cyprus
1,01/01/1975,0,Czech Republic
1,01/01/1975,0,Denmark
1,01/01/1975,,Estonia
1,01/01/1975,0,Finland
1,01/01/1975,0,France
1,01/01/1975,0,Germany
1,01/01/1975,0,Greece
1,01/01/1975,0,Hungary
1,01/01/1975,0,Iceland
1,01/01/1975,0,Ireland
1,01/01/1975,0,Italy
1,01/01/1975,,Latvia
1,01/01/1975,,Lithuania
1,01/01/1975,0,Luxembourg
1,01/01/1975,0,Netherlands
1,01/01/1975,,North Macedonia
1,01/01/1975,0,Norway
1,01/01/1975,0,Poland
1,01/01/1975,0,Portugal
1,01/01/1975,0,Romania
1,01/01/1975,0,Slovakia
1,01/01/1975,,Slovenia
1,01/01/1975,0,Spain
1,01/01/1975,0,Sweden
1,01/01/1975,0,Switzerland
1,01/01/1975,0,Turkey
1,01/01/1975,0,Ukraine
1,01/01/1975,0,United Kingdom
1,01/01/1975,,Azerbaijan
1,01/01/1975,,Belarus
1,01/01/1975,,Kazakhstan
1,01/01/1975,,Russian Federation
1,01/01/1975,,Turkmenistan
1,01/01/1975,0,USSR
1,01/01/1975,,Uzbekistan
1,01/01/1975,0,Iran
1,01/01/1975,0,Iraq
1,01/01/1975,0,Israel
1,01/01/1975,0,Kuwait
1,01/01/1975,0,Oman
1,01/01/1975,0,Qatar
1,01/01/1975,0,Saudi Arabia
1,01/01/1975,0,United Arab Emirates
1,01/01/1975,0,Algeria
1,01/01/1975,0,Egypt
1,01/01/1975,0,Morocco
1,01/01/1975,0,South Africa
1,01/01/1975,0,Eastern Africa
1,01/01/1975,0,Australia
1,01/01/1975,0,Bangladesh
1,01/01/1975,0,China
1,01/01/1975,0,China Hong Kong SAR
1,01/01/1975,0,India
1,01/01/1975,0,Indonesia
1,01/01/1975,0,Japan
1,01/01/1975,0,Malaysia
1,01/01/1975,0,New Zealand
1,01/01/1975,0,Pakistan
1,01/01/1975,0,Philippines
1,01/01/1975,0,Singapore
1,01/01/1975,0,South Korea
1,01/01/1975,0,Sri Lanka
1,01/01/1975,0,Taiwan
1,01/01/1975,0,Thailand
1,01/01/1975,0,Vietnam
1,01/01/1976,0,Canada
1,01/01/1976,0,Mexico
1,01/01/1976,0,US
1,01/01/1976,0,Argentina
1,01/01/1976,0,Brazil
1,01/01/1976,0,Chile
1,01/01/1976,0,Colombia
1,01/01/1976,0,Ecuador
1,01/01/1976,0,Peru
1,01/01/1976,0,Trinidad & Tobago
1,01/01/1976,0,Venezuela
1,01/01/1976,0,Austria
1,01/01/1976,0,Belgium
1,01/01/1976,0,Bulgaria
1,01/01/1976,,Croatia
1,01/01/1976,0,Cyprus
1,01/01/1976,0,Czech Republic
1,01/01/1976,0,Denmark
1,01/01/1976,,Estonia
1,01/01/1976,0,Finland
1,01/01/1976,0,France
1,01/01/1976,0,Germany
1,01/01/1976,0,Greece
1,01/01/1976,0,Hungary
1,01/01/1976,0,Iceland
1,01/01/1976,0,Ireland
1,01/01/1976,0,Italy
1,01/01/1976,,Latvia
1,01/01/1976,,Lithuania
1,01/01/1976,0,Luxembourg
1,01/01/1976,0,Netherlands
1,01/01/1976,,North Macedonia
1,01/01/1976,0,Norway
1,01/01/1976,0,Poland
1,01/01/1976,0,Portugal
1,01/01/1976,0,Romania
1,01/01/1976,0,Slovakia
1,01/01/1976,,Slovenia
1,01/01/1976,0,Spain
1,01/01/1976,0,Sweden
1,01/01/1976,0,Switzerland
1,01/01/1976,0,Turkey
1,01/01/1976,0,Ukraine
1,01/01/1976,0,United Kingdom
1,01/01/1976,,Azerbaijan
