Year,solar_gen_values,Countries
1971,0,Indonesia
1971,0,Japan
1971,0,Malaysia
1971,0,New Zealand
1971,0,Pakistan
1971,0,Philippines
1971,0,Singapore
1971,0,South Korea
1971,0,Sri Lanka
1971,0,Taiwan
1971,0,Thailand
1971,0,Vietnam
1972,0,Canada
1972,0,Mexico
1972,0,US
1972,0,Argentina
1972,0,Brazil
1972,0,Chile
1972,0,Colombia
1972,0,Ecuador
1972,0,Peru
1972,0,Trinidad and Tobago
1972,0,Venezuela
1972,0,Austria
1972,0,Belgium
1972,0,Bulgaria
1972,,Croatia
1972,0,Cyprus
1972,0,Czech Republic
1972,0,Denmark
1972,,Estonia
1972,0,Finland
1972,0,France
1972,0,Germany
1972,0,Greece
1972,0,Hungary
1972,0,Iceland
1972,0,Ireland
1972,0,Italy
1972,,Latvia
1972,,Lithuania
1972,0,Luxembourg
1972,0,Netherlands
1972,,North Macedonia
1972,0,Norway
1972,0,Poland
1972,0,Portugal
1972,0,Romania
1972,0,Slovakia
1972,,Slovenia
1972,0,Spain
1972,0,Sweden
1972,0,Switzerland
1972,0,Turkey
1972,0,Ukraine
1972,0,United Kingdom
1972,,Azerbaijan
1972,,Belarus
1972,,Kazakhstan
1972,,Russian Federation
1972,,Turkmenistan
1972,0,USSR
1972,,Uzbekistan
1972,0,Iran
1972,0,Iraq
1972,0,Israel
1972,0,Kuwait
1972,0,Oman
1972,0,Qatar
1972,0,Saudi Arabia
1972,0,United Arab Emirates
1972,0,Algeria
1972,0,Egypt
1972,0,Morocco
1972,0,South Africa
1972,0,Eastern Africa
1972,0,Australia
1972,0,Bangladesh
1972,0,China
1972,0,Hong Kong SAR
1972,0,India
1972,0,Indonesia
1972,0,Japan
1972,0,Malaysia
1972,0,New Zealand
1972,0,Pakistan
1972,0,Philippines
1972,0,Singapore
1972,0,South Korea
1972,0,Sri Lanka
1972,0,Taiwan
1972,0,Thailand
1972,0,Vietnam
1974,0,Canada
1974,0,Mexico
1974,0,US
1974,0,Argentina
1974,0,Brazil
1974,0,Chile
1974,0,Colombia
1974,0,Ecuador
1974,0,Peru
1974,0,Trinidad and Tobago
1974,0,Venezuela
1974,0,Austria
1974,0,Belgium
1974,0,Bulgaria
1974,,Croatia
1974,0,Cyprus
1974,0,Czech Republic
1974,0,Denmark
1974,,Estonia
1974,0,Finland
1974,0,France
1974,0,Germany
1974,0,Greece
1974,0,Hungary
1974,0,Iceland
1974,0,Ireland
1974,0,Italy
1974,,Latvia
1974,,Lithuania
1974,0,Luxembourg
1974,0,Netherlands
1974,,North Macedonia
1974,0,Norway
1974,0,Poland
1974,0,Portugal
1974,0,Romania
1974,0,Slovakia
1974,,Slovenia
1974,0,Spain
1974,0,Sweden
1974,0,Switzerland
1974,0,Turkey
1974,0,Ukraine
1974,0,United Kingdom
1974,,Azerbaijan
1974,,Belarus
1974,,Kazakhstan
1974,,Russian Federation
1974,,Turkmenistan
1974,0,USSR
1974,,Uzbekistan
1974,0,Iran
1974,0,Iraq
1974,0,Israel
1974,0,Kuwait
1974,0,Oman
1974,0,Qatar
1974,0,Saudi Arabia
1974,0,United Arab Emirates
1974,0,Algeria
1974,0,Egypt
1974,0,Morocco
1974,0,South Africa
1974,0,Eastern Africa
1974,0,Australia
1974,0,Bangladesh
1974,0,China
1974,0,Hong Kong SAR
1974,0,India
1974,0,Indonesia
1974,0,Japan
1974,0,Malaysia
1974,0,New Zealand
1974,0,Pakistan
1974,0,Philippines
1974,0,Singapore
1974,0,South Korea
1974,0,Sri Lanka
1974,0,Taiwan
1974,0,Thailand
1974,0,Vietnam
1975,0,Canada
1975,0,Mexico
1975,0,US
1975,0,Argentina
1975,0,Brazil
1975,0,Chile
1975,0,Colombia
1975,0,Ecuador
1975,0,Peru
1975,0,Trinidad and Tobago
1975,0,Venezuela
1975,0,Austria
1975,0,Belgium
1975,0,Bulgaria
1975,,Croatia
1975,0,Cyprus
1975,0,Czech Republic
1975,0,Denmark
1975,,Estonia
1975,0,Finland
1975,0,France
1975,0,Germany
1975,0,Greece
1975,0,Hungary
1975,0,Iceland
1975,0,Ireland
1975,0,Italy
1975,,Latvia
1975,,Lithuania
1975,0,Luxembourg
1975,0,Netherlands
1975,,North Macedonia
1975,0,Norway
1975,0,Poland
1975,0,Portugal
1975,0,Romania
1975,0,Slovakia
1975,,Slovenia
1975,0,Spain
1975,0,Sweden
1975,0,Switzerland
1975,0,Turkey
1975,0,Ukraine
1975,0,United Kingdom
1975,,Azerbaijan
1975,,Belarus
1975,,Kazakhstan
1975,,Russian Federation
1975,,Turkmenistan
1975,0,USSR
1975,,Uzbekistan
1975,0,Iran
1975,0,Iraq
1975,0,Israel
1975,0,Kuwait
1975,0,Oman
1975,0,Qatar
1975,0,Saudi Arabia
1975,0,United Arab Emirates
1975,0,Algeria
1975,0,Egypt
1975,0,Morocco
1975,0,South Africa
1975,0,Eastern Africa
1975,0,Australia
1975,0,Bangladesh
1975,0,China
1975,0,Hong Kong SAR
1975,0,India
1975,0,Indonesia
1975,0,Japan
1975,0,Malaysia
1975,0,New Zealand
1975,0,Pakistan
1975,0,Philippines
1975,0,Singapore
1975,0,South Korea
1975,0,Sri Lanka
1975,0,Taiwan
1975,0,Thailand
1975,0,Vietnam
1976,0,Canada
1976,0,Mexico
1976,0,US
1976,0,Argentina
1976,0,Brazil
1976,0,Chile
1976,0,Colombia
1976,0,Ecuador
1976,0,Peru
1976,0,Trinidad and Tobago
1976,0,Venezuela
1976,0,Austria
1976,0,Belgium
1976,0,Bulgaria
1976,,Croatia
1976,0,Cyprus
1976,0,Czech Republic
1976,0,Denmark
1976,,Estonia
1976,0,Finland
1976,0,France
1976,0,Germany
1976,0,Greece
1976,0,Hungary
1976,0,Iceland
1976,0,Ireland
1976,0,Italy
1976,,Latvia
1976,,Lithuania
1976,0,Luxembourg
1976,0,Netherlands
1976,,North Macedonia
1976,0,Norway
1976,0,Poland
1976,0,Portugal
1976,0,Romania
1976,0,Slovakia
1976,,Slovenia
1976,0,Spain
1976,0,Sweden
1976,0,Switzerland
1976,0,Turkey
1976,0,Ukraine
1976,0,United Kingdom
1976,,Azerbaijan
1976,,Belarus
1976,,Kazakhstan
1976,,Russian Federation
1976,,Turkmenistan
1976,0,USSR
1976,,Uzbekistan
1976,0,Iran
1976,0,Iraq
1976,0,Israel
1976,0,Kuwait
1976,0,Oman
1976,0,Qatar
1976,0,Saudi Arabia
1976,0,United Arab Emirates
1976,0,Algeria
1976,0,Egypt
1976,0,Morocco
1976,0,South Africa
1976,0,Eastern Africa
1976,0,Australia
1976,0,Bangladesh
1976,0,China
1976,0,Hong Kong SAR
1976,0,India
1976,0,Indonesia
1976,0,Japan
1976,0,Malaysia
1976,0,New Zealand
1976,0,Pakistan
1976,0,Philippines
1976,0,Singapore
1976,0,South Korea
1976,0,Sri Lanka
1976,0,Taiwan
1976,0,Thailand
1976,0,Vietnam
1977,0,Canada
1977,0,Mexico
1977,0,US
1977,0,Argentina
1977,0,Brazil
1977,0,Chile
1977,0,Colombia
1977,0,Ecuador
1977,0,Peru
1977,0,Trinidad and Tobago
1977,0,Venezuela
1977,0,Austria
1977,0,Belgium
1977,0,Bulgaria
1977,,Croatia
1977,0,Cyprus
1977,0,Czech Republic
1977,0,Denmark
1977,,Estonia
1977,0,Finland
1977,0,France
1977,0,Germany
1977,0,Greece
1977,0,Hungary
1977,0,Iceland
1977,0,Ireland
1977,0,Italy
1977,,Latvia
1977,,Lithuania
1977,0,Luxembourg
1977,0,Netherlands
1977,,North Macedonia
1977,0,Norway
1977,0,Poland
1977,0,Portugal
1977,0,Romania
1977,0,Slovakia
1977,,Slovenia
1977,0,Spain
1977,0,Sweden
1977,0,Switzerland
1977,0,Turkey
1977,0,Ukraine
1977,0,United Kingdom
1977,,Azerbaijan
1977,,Belarus
1977,,Kazakhstan
1977,,Russian Federation
1977,,Turkmenistan
1977,0,USSR
1977,,Uzbekistan
1977,0,Iran
1977,0,Iraq
1977,0,Israel
1977,0,Kuwait
1977,0,Oman
1977,0,Qatar
1977,0,Saudi Arabia
1977,0,United Arab Emirates
1977,0,Algeria
1977,0,Egypt
1977,0,Morocco
1977,0,South Africa
1977,0,Eastern Africa
1977,0,Australia
1977,0,Bangladesh
1977,0,China
1977,0,Hong Kong SAR
1977,0,India
1977,0,Indonesia
1977,0,Japan
1977,0,Malaysia
1977,0,New Zealand
1977,0,Pakistan
1977,0,Philippines
1977,0,Singapore
1977,0,South Korea
1977,0,Sri Lanka
1977,0,Taiwan
1977,0,Thailand
1977,0,Vietnam
1978,0,Canada
1978,0,Mexico
1978,0,US
1978,0,Argentina
1978,0,Brazil
1978,0,Chile
1978,0,Colombia
1978,0,Ecuador
1978,0,Peru
1978,0,Trinidad and Tobago
1978,0,Venezuela
1978,0,Austria
1978,0,Belgium
1978,0,Bulgaria
1978,,Croatia
1978,0,Cyprus
1978,0,Czech Republic
1978,0,Denmark
1978,,Estonia
1978,0,Finland
1978,0,France
1978,0,Germany
1978,0,Greece
1978,0,Hungary
1978,0,Iceland
1978,0,Ireland
1978,0,Italy
1978,,Latvia
1978,,Lithuania
1978,0,Luxembourg
1978,0,Netherlands
1978,,North Macedonia
1978,0,Norway
1978,0,Poland
1978,0,Portugal
1978,0,Romania
1978,0,Slovakia
1978,,Slovenia
1978,0,Spain
1978,0,Sweden
1978,0,Switzerland
1978,0,Turkey
1978,0,Ukraine
1978,0,United Kingdom
1978,,Azerbaijan
1978,,Belarus
1978,,Kazakhstan
1978,,Russian Federation
1978,,Turkmenistan
1978,0,USSR
1978,,Uzbekistan
1978,0,Iran
1978,0,Iraq
1978,0,Israel
1978,0,Kuwait
1978,0,Oman
1978,0,Qatar
1978,0,Saudi Arabia
1978,0,United Arab Emirates
1978,0,Algeria
1978,0,Egypt
1978,0,Morocco
1978,0,South Africa
1978,0,Eastern Africa
1978,0,Australia
1978,0,Bangladesh
1978,0,China
1978,0,Hong Kong SAR
1978,0,India
1978,0,Indonesia
1978,0,Japan
1978,0,Malaysia
1978,0,New Zealand
1978,0,Pakistan
1978,0,Philippines
1978,0,Singapore
1978,0,South Korea
1978,0,Sri Lanka
1978,0,Taiwan
1978,0,Thailand
1978,0,Vietnam
1979,0,Canada
1979,0,Mexico
1979,0,US
1979,0,Argentina
1979,0,Brazil
1979,0,Chile
1979,0,Colombia
1979,0,Ecuador
1979,0,Peru
1979,0,Trinidad and Tobago
1979,0,Venezuela
1979,0,Austria
1979,0,Belgium
1979,0,Bulgaria
1979,,Croatia
1979,0,Cyprus
1979,0,Czech Republic
1979,0,Denmark
1979,,Estonia
1979,0,Finland
1979,0,France
1979,0,Germany
1979,0,Greece
1979,0,Hungary
1979,0,Iceland
1979,0,Ireland
1979,0,Italy
1979,,Latvia
1979,,Lithuania
1979,0,Luxembourg
1979,0,Netherlands
1979,,North Macedonia
1979,0,Norway
1979,0,Poland
1979,0,Portugal
1979,0,Romania
1979,0,Slovakia
1979,,Slovenia
1979,0,Spain
1979,0,Sweden
1979,0,Switzerland
1979,0,Turkey
1979,0,Ukraine
1979,0,United Kingdom
1979,,Azerbaijan
1979,,Belarus
1979,,Kazakhstan
1979,,Russian Federation
1979,,Turkmenistan
1979,0,USSR
1979,,Uzbekistan
1979,0,Iran
1979,0,Iraq
1979,0,Israel
1979,0,Kuwait
1979,0,Oman
1979,0,Qatar
1979,0,Saudi Arabia
1979,0,United Arab Emirates
1979,0,Algeria
1979,0,Egypt
1979,0,Morocco
1979,0,South Africa
1979,0,Eastern Africa
1979,0,Australia
1979,0,Bangladesh
1979,0,China
1979,0,Hong Kong SAR
1979,0,India
1979,0,Indonesia
1979,0,Japan
1979,0,Malaysia
1979,0,New Zealand
1979,0,Pakistan
1979,0,Philippines
1979,0,Singapore
1979,0,South Korea
1979,0,Sri Lanka
1979,0,Taiwan
1979,0,Thailand
1979,0,Vietnam
1980,0,Canada
1980,0,Mexico
1980,0,US
1980,0,Argentina
1980,0,Brazil
1980,0,Chile
1980,0,Colombia
1980,0,Ecuador
1980,0,Peru
1980,0,Trinidad and Tobago
1980,0,Venezuela
1980,0,Austria
1980,0,Belgium
1980,0,Bulgaria
1980,,Croatia
1980,0,Cyprus
1980,0,Czech Republic
1980,0,Denmark
1980,,Estonia
1980,0,Finland
1980,0,France
1980,0,Germany
1980,0,Greece
1980,0,Hungary
1980,0,Iceland
1980,0,Ireland
1980,0,Italy
1980,,Latvia
1980,,Lithuania
1980,0,Luxembourg
1980,0,Netherlands
1980,,North Macedonia
1980,0,Norway
1980,0,Poland
1980,0,Portugal
1980,0,Romania
1980,0,Slovakia
1980,,Slovenia
1980,0,Spain
1980,0,Sweden
1980,0,Switzerland
1980,0,Turkey
1980,0,Ukraine
1980,0,United Kingdom
1980,,Azerbaijan
1980,,Belarus
1980,,Kazakhstan
1980,,Russian Federation
1980,,Turkmenistan
1980,0,USSR
1980,,Uzbekistan
1980,0,Iran
1980,0,Iraq
1980,0,Israel
1980,0,Kuwait
1980,0,Oman
1980,0,Qatar
1980,0,Saudi Arabia
1980,0,United Arab Emirates
1980,0,Algeria
1980,0,Egypt
1980,0,Morocco
1980,0,South Africa
1980,0,Eastern Africa
1980,0,Australia
1980,0,Bangladesh
1980,0,China
1980,0,Hong Kong SAR
1980,0,India
1980,0,Indonesia
1980,0,Japan
1980,0,Malaysia
1980,0,New Zealand
1980,0,Pakistan
1980,0,Philippines
1980,0,Singapore
1980,0,South Korea
1980,0,Sri Lanka
1980,0,Taiwan
1980,0,Thailand
1980,0,Vietnam
1981,0,Canada
1981,0,Mexico
1981,0,US
1981,0,Argentina
1981,0,Brazil
1981,0,Chile
1981,0,Colombia
1981,0,Ecuador
1981,0,Peru
1981,0,Trinidad and Tobago
1981,0,Venezuela
1981,0,Austria
1981,0,Belgium
1981,0,Bulgaria
1981,,Croatia
1981,0,Cyprus
1981,0,Czech Republic
1981,0,Denmark
1981,,Estonia
1981,0,Finland
1981,0,France
1981,0,Germany
1981,0,Greece
1981,0,Hungary
1981,0,Iceland
1981,0,Ireland
1981,0,Italy
1981,,Latvia
1981,,Lithuania
1981,0,Luxembourg
1981,0,Netherlands
1981,,North Macedonia
1981,0,Norway
1981,0,Poland
1981,0,Portugal
1981,0,Romania
1981,0,Slovakia
1981,,Slovenia
1981,0,Spain
1981,0,Sweden
1981,0,Switzerland
1981,0,Turkey
1981,0,Ukraine
1981,0,United Kingdom
1981,,Azerbaijan
1981,,Belarus
1981,,Kazakhstan
1981,,Russian Federation
1981,,Turkmenistan
1981,0,USSR
1981,,Uzbekistan
1981,0,Iran
1981,0,Iraq
1981,0,Israel
1981,0,Kuwait
1981,0,Oman
1981,0,Qatar
1981,0,Saudi Arabia
1981,0,United Arab Emirates
1981,0,Algeria
1981,0,Egypt
1981,0,Morocco
1981,0,South Africa
1981,0,Eastern Africa
1981,0,Australia
1981,0,Bangladesh
1981,0,China
1981,0,Hong Kong SAR
1981,0,India
1981,0,Indonesia
1981,0,Japan
1981,0,Malaysia
1981,0,New Zealand
1981,0,Pakistan
1981,0,Philippines
1981,0,Singapore
1981,0,South Korea
1981,0,Sri Lanka
1981,0,Taiwan
1981,0,Thailand
1981,0,Vietnam
1982,0,Canada
1982,0,Mexico
1982,0,US
1982,0,Argentina
1982,0,Brazil
1982,0,Chile
1982,0,Colombia
1982,0,Ecuador
1982,0,Peru
1982,0,Trinidad and Tobago
1982,0,Venezuela
1982,0,Austria
1982,0,Belgium
1982,0,Bulgaria
1982,,Croatia
1982,0,Cyprus
1982,0,Czech Republic
1982,0,Denmark
1982,,Estonia
1982,0,Finland
1982,0,France
1982,0,Germany
1982,0,Greece
1982,0,Hungary
1982,0,Iceland
1982,0,Ireland
1982,0,Italy
1982,,Latvia
1982,,Lithuania
1982,0,Luxembourg
1982,0,Netherlands
1982,,North Macedonia
1982,0,Norway
1982,0,Poland
1982,0,Portugal
1982,0,Romania
1982,0,Slovakia
1982,,Slovenia
1982,0,Spain
1982,0,Sweden
1982,0,Switzerland
1982,0,Turkey
1982,0,Ukraine
1982,0,United Kingdom
1982,,Azerbaijan
1982,,Belarus
1982,,Kazakhstan
1982,,Russian Federation
1982,,Turkmenistan
1982,0,USSR
1982,,Uzbekistan
1982,0,Iran
1982,0,Iraq
1982,0,Israel
1982,0,Kuwait
1982,0,Oman
1982,0,Qatar
1982,0,Saudi Arabia
1982,0,United Arab Emirates
