Number of Records,Gas_Year,Gas_Values,Countries
1,01/01/1966,6.778349097,Venezuela
1,01/01/1966,1.618317646,Austria
1,01/01/1966,0.114058469,Belgium
1,01/01/1966,0.072181857,Bulgaria
1,01/01/1966,0,Croatia
1,01/01/1966,0,Cyprus
1,01/01/1966,0.386092003,Czech Republic
1,01/01/1966,0,Denmark
1,01/01/1966,0,Estonia
1,01/01/1966,0,Finland
1,01/01/1966,4.539682,France
1,01/01/1966,3.201197095,Germany
1,01/01/1966,0,Greece
1,01/01/1966,1.449376612,Hungary
1,01/01/1966,0,Iceland
1,01/01/1966,0,Ireland
1,01/01/1966,6.923581255,Italy
1,01/01/1966,0,Latvia
1,01/01/1966,0,Lithuania
1,01/01/1966,0,Luxembourg
1,01/01/1966,2.460112735,Netherlands
1,01/01/1966,0,North Macedonia
1,01/01/1966,0,Norway
1,01/01/1966,1.751139295,Poland
1,01/01/1966,0,Portugal
1,01/01/1966,13.023775086,Romania
1,01/01/1966,0.285477214,Slovakia
1,01/01/1966,0,Slovenia
1,01/01/1966,0,Spain
1,01/01/1966,0,Sweden
1,01/01/1966,0,Switzerland
1,01/01/1966,0,Turkey
1,01/01/1966,0,Ukraine
1,01/01/1966,0.721,United Kingdom
1,01/01/1966,,Azerbaijan
1,01/01/1966,,Belarus
1,01/01/1966,,Kazakhstan
1,01/01/1966,,Russian Federation
1,01/01/1966,,Turkmenistan
1,01/01/1966,116.71318462,USSR
1,01/01/1966,,Uzbekistan
1,01/01/1966,0.704358237,Iran
1,01/01/1966,0.495829751,Iraq
1,01/01/1966,0.082086178,Israel
1,01/01/1966,1.94411006,Kuwait
1,01/01/1966,0,Oman
1,01/01/1966,0.072975064,Qatar
1,01/01/1966,0.620808255,Saudi Arabia
1,01/01/1966,0,United Arab Emirates
1,01/01/1966,0.663736028,Algeria
1,01/01/1966,0.046345658,Egypt
1,01/01/1966,0.041816423,Morocco
1,01/01/1966,0,South Africa
1,01/01/1966,0.000795357,Eastern Africa
1,01/01/1966,0.003379192,Australia
1,01/01/1966,0,Bangladesh
1,01/01/1966,1.161256067,China
1,01/01/1966,0,China Hong Kong SAR
1,01/01/1966,0.229,India
1,01/01/1966,0.445098882,Indonesia
1,01/01/1966,1.611328461,Japan
1,01/01/1966,0,Malaysia
1,01/01/1966,0,New Zealand
1,01/01/1966,1.43522356,Pakistan
1,01/01/1966,0,Philippines
1,01/01/1966,0,Singapore
1,01/01/1966,0,South Korea
1,01/01/1966,0,Sri Lanka
1,01/01/1966,0.222637575,Taiwan
1,01/01/1966,0,Thailand
1,01/01/1966,0,Vietnam
1,01/01/1967,21.660980224,Canada
1,01/01/1967,6.293766822,Mexico
1,01/01/1967,406.980945903,US
1,01/01/1967,4.015429923,Argentina
1,01/01/1967,0.058359071,Brazil
1,01/01/1967,0.491691745,Chile
1,01/01/1967,0.993121238,Colombia
1,01/01/1967,0,Ecuador
1,01/01/1967,0.307039983,Peru
1,01/01/1967,1.362,Trinidad & Tobago
1,01/01/1967,7.427360275,Venezuela
1,01/01/1967,1.550445719,Austria
1,01/01/1967,0.434694755,Belgium
1,01/01/1967,0.219718401,Bulgaria
1,01/01/1967,0,Croatia
1,01/01/1967,0,Cyprus
1,01/01/1967,0.46377902,Czech Republic
1,01/01/1967,0,Denmark
1,01/01/1967,0,Estonia
1,01/01/1967,0,Finland
1,01/01/1967,5.188242,France
1,01/01/1967,4.126281044,Germany
1,01/01/1967,0,Greece
1,01/01/1967,1.860253654,Hungary
1,01/01/1967,0,Iceland
1,01/01/1967,0,Ireland
1,01/01/1967,7.562618229,Italy
1,01/01/1967,0,Latvia
1,01/01/1967,0,Lithuania
1,01/01/1967,0,Luxembourg
1,01/01/1967,4.346995319,Netherlands
1,01/01/1967,0,North Macedonia
1,01/01/1967,0,Norway
1,01/01/1967,2.139961307,Poland
1,01/01/1967,0,Portugal
1,01/01/1967,14.357902451,Romania
1,01/01/1967,0.342252794,Slovakia
1,01/01/1967,0,Slovenia
1,01/01/1967,0,Spain
1,01/01/1967,0,Sweden
1,01/01/1967,0,Switzerland
1,01/01/1967,0,Turkey
1,01/01/1967,0,Ukraine
1,01/01/1967,1.213,United Kingdom
1,01/01/1967,,Azerbaijan
1,01/01/1967,,Belarus
1,01/01/1967,,Kazakhstan
1,01/01/1967,,Russian Federation
1,01/01/1967,,Turkmenistan
1,01/01/1967,128.497426929,USSR
1,01/01/1967,,Uzbekistan
1,01/01/1967,0.738430185,Iran
1,01/01/1967,0.395356836,Iraq
1,01/01/1967,0.091924396,Israel
1,01/01/1967,2.212037833,Kuwait
1,01/01/1967,0,Oman
1,01/01/1967,0.100563199,Qatar
1,01/01/1967,0.747828891,Saudi Arabia
1,01/01/1967,0.38061049,United Arab Emirates
1,01/01/1967,0.643873603,Algeria
1,01/01/1967,0.046345658,Egypt
1,01/01/1967,0.041816423,Morocco
1,01/01/1967,0,South Africa
1,01/01/1967,0.000795357,Eastern Africa
1,01/01/1967,0.003379192,Australia
1,01/01/1967,0,Bangladesh
1,01/01/1967,1.265249148,China
1,01/01/1967,0,China Hong Kong SAR
1,01/01/1967,0.306,India
1,01/01/1967,0.543718831,Indonesia
1,01/01/1967,1.666895959,Japan
1,01/01/1967,0,Malaysia
1,01/01/1967,0,New Zealand
1,01/01/1967,1.674307825,Pakistan
1,01/01/1967,0,Philippines
1,01/01/1967,0,Singapore
1,01/01/1967,0,South Korea
1,01/01/1967,0,Sri Lanka
1,01/01/1967,0.28760963,Taiwan
1,01/01/1967,0,Thailand
1,01/01/1967,0,Vietnam
1,01/01/1968,24.12044497,Canada
1,01/01/1968,6.757703101,Mexico
1,01/01/1968,435.667669596,US
1,01/01/1968,4.471158641,Argentina
1,01/01/1968,0.061675819,Brazil
1,01/01/1968,0.420249355,Chile
1,01/01/1968,1.012156062,Colombia
1,01/01/1968,0,Ecuador
1,01/01/1968,0.341799226,Peru
1,01/01/1968,1.429,Trinidad & Tobago
1,01/01/1968,7.666921754,Venezuela
1,01/01/1968,1.653393775,Austria
1,01/01/1968,1.057523646,Belgium
1,01/01/1968,0.336319862,Bulgaria
1,01/01/1968,0,Croatia
1,01/01/1968,0,Cyprus
1,01/01/1968,0.571904557,Czech Republic
1,01/01/1968,0,Denmark
1,01/01/1968,0,Estonia
1,01/01/1968,0,Finland
1,01/01/1968,6.204342,France
1,01/01/1968,6.781576952,Germany
1,01/01/1968,0,Greece
1,01/01/1968,2.341272571,Hungary
1,01/01/1968,0,Iceland
1,01/01/1968,0,Ireland
1,01/01/1968,8.881642304,Italy
1,01/01/1968,0,Latvia
1,01/01/1968,0,Lithuania
1,01/01/1968,0,Luxembourg
1,01/01/1968,7.308684437,Netherlands
1,01/01/1968,0,North Macedonia
1,01/01/1968,0,Norway
1,01/01/1968,2.939982803,Poland
1,01/01/1968,0,Portugal
1,01/01/1968,15.19242485,Romania
1,01/01/1968,0.766251075,Slovakia
1,01/01/1968,0,Slovenia
1,01/01/1968,0,Spain
1,01/01/1968,0,Sweden
1,01/01/1968,0,Switzerland
1,01/01/1968,0,Turkey
1,01/01/1968,0,Ukraine
1,01/01/1968,2.739,United Kingdom
1,01/01/1968,,Azerbaijan
1,01/01/1968,,Belarus
1,01/01/1968,,Kazakhstan
1,01/01/1968,,Russian Federation
1,01/01/1968,,Turkmenistan
1,01/01/1968,138.744973724,USSR
1,01/01/1968,,Uzbekistan
1,01/01/1968,0.788763436,Iran
1,01/01/1968,0.396173689,Iraq
1,01/01/1968,0.117965368,Israel
1,01/01/1968,2.727472055,Kuwait
1,01/01/1968,0,Oman
1,01/01/1968,0.457429063,Qatar
1,01/01/1968,0.899355116,Saudi Arabia
1,01/01/1968,0.503009458,United Arab Emirates
1,01/01/1968,0.676977644,Algeria
1,01/01/1968,0.046345658,Egypt
1,01/01/1968,0.041816423,Morocco
1,01/01/1968,0,South Africa
1,01/01/1968,0.000795357,Eastern Africa
1,01/01/1968,0.026188736,Australia
1,01/01/1968,0,Bangladesh
1,01/01/1968,1.213252608,China
1,01/01/1968,0,China Hong Kong SAR
1,01/01/1968,0.34,India
1,01/01/1968,0.55244626,Indonesia
1,01/01/1968,1.813843508,Japan
1,01/01/1968,0,Malaysia
1,01/01/1968,0,New Zealand
1,01/01/1968,1.878929493,Pakistan
1,01/01/1968,0,Philippines
1,01/01/1968,0,Singapore
1,01/01/1968,0,South Korea
1,01/01/1968,0,Sri Lanka
1,01/01/1968,0.405425623,Taiwan
1,01/01/1968,0,Thailand
1,01/01/1968,0,Vietnam
1,01/01/1969,26.9558319,Canada
1,01/01/1969,8.380957284,Mexico
1,01/01/1969,468.968788469,US
1,01/01/1969,4.454434652,Argentina
1,01/01/1969,0.065001283,Brazil
1,01/01/1969,0.553048151,Chile
1,01/01/1969,1.105261178,Colombia
1,01/01/1969,0,Ecuador
1,01/01/1969,0.348420034,Peru
1,01/01/1969,1.437,Trinidad & Tobago
1,01/01/1969,7.890257954,Venezuela
1,01/01/1969,2.005946425,Austria
1,01/01/1969,2.178417885,Belgium
1,01/01/1969,0.349804385,Bulgaria
1,01/01/1969,0,Croatia
1,01/01/1969,0,Cyprus
1,01/01/1969,0.627171109,Czech Republic
1,01/01/1969,0,Denmark
1,01/01/1969,0,Estonia
1,01/01/1969,0,Finland
1,01/01/1969,7.209845,France
1,01/01/1969,9.657469801,Germany
1,01/01/1969,0,Greece
1,01/01/1969,2.787274291,Hungary
1,01/01/1969,0,Iceland
1,01/01/1969,0,Ireland
1,01/01/1969,9.751655202,Italy
1,01/01/1969,0,Latvia
1,01/01/1969,0,Lithuania
1,01/01/1969,0.002515047,Luxembourg
1,01/01/1969,10.771949938,Netherlands
1,01/01/1969,0,North Macedonia
1,01/01/1969,0,Norway
1,01/01/1969,4.076031814,Poland
1,01/01/1969,0,Portugal
1,01/01/1969,17.641360125,Romania
1,01/01/1969,0.776547721,Slovakia
1,01/01/1969,0,Slovenia
1,01/01/1969,0.080765262,Spain
1,01/01/1969,0,Sweden
1,01/01/1969,0.000214961,Switzerland
1,01/01/1969,0,Turkey
1,01/01/1969,0,Ukraine
1,01/01/1969,5.337,United Kingdom
1,01/01/1969,,Azerbaijan
1,01/01/1969,,Belarus
1,01/01/1969,,Kazakhstan
1,01/01/1969,,Russian Federation
1,01/01/1969,,Turkmenistan
1,01/01/1969,148.274619919,USSR
1,01/01/1969,,Uzbekistan
1,01/01/1969,0.92553103,Iran
1,01/01/1969,0.62244196,Iraq
1,01/01/1969,0.121252545,Israel
1,01/01/1969,3.044411006,Kuwait
1,01/01/1969,0,Oman
1,01/01/1969,0.758228719,Qatar
1,01/01/1969,1.082738607,Saudi Arabia
1,01/01/1969,0.494625967,United Arab Emirates
1,01/01/1969,0.89008491,Algeria
1,01/01/1969,0.058759673,Egypt
1,01/01/1969,0.041816423,Morocco
1,01/01/1969,0,South Africa
1,01/01/1969,0.000795357,Eastern Africa
1,01/01/1969,0.354815133,Australia
1,01/01/1969,0,Bangladesh
1,01/01/1969,1.698553651,China
1,01/01/1969,0,China Hong Kong SAR
1,01/01/1969,0.408,India
1,01/01/1969,1.041182287,Indonesia
1,01/01/1969,2.005635979,Japan
1,01/01/1969,0,Malaysia
1,01/01/1969,0,New Zealand
1,01/01/1969,2.314737747,Pakistan
1,01/01/1969,0,Philippines
1,01/01/1969,0,Singapore
1,01/01/1969,0,South Korea
1,01/01/1969,0,Sri Lanka
1,01/01/1969,0.509380911,Taiwan
1,01/01/1969,0,Thailand
1,01/01/1969,0,Vietnam
1,01/01/1970,29.779752794,Canada
1,01/01/1970,8.570508763,Mexico
1,01/01/1970,494.295640079,US
1,01/01/1970,5.033920894,Argentina
1,01/01/1970,0.069734513,Brazil
1,01/01/1970,0.552207653,Chile
1,01/01/1970,1.074226139,Colombia
1,01/01/1970,0.06,Ecuador
1,01/01/1970,0.341799226,Peru
1,01/01/1970,1.644,Trinidad & Tobago
1,01/01/1970,7.358641445,Venezuela
1,01/01/1970,2.433190208,Austria
1,01/01/1970,3.418035254,Belgium
1,01/01/1970,0.315696475,Bulgaria
1,01/01/1970,0,Croatia
1,01/01/1970,0,Cyprus
1,01/01/1970,0.688950989,Czech Republic
1,01/01/1970,0,Denmark
1,01/01/1970,0,Estonia
1,01/01/1970,0,Finland
1,01/01/1970,8.214037,France
1,01/01/1970,13.734955208,Germany
1,01/01/1970,0,Greece
1,01/01/1970,3.125795357,Hungary
1,01/01/1970,0,Iceland
1,01/01/1970,0,Ireland
1,01/01/1970,10.520378332,Italy
1,01/01/1970,0,Latvia
1,01/01/1970,0,Lithuania
1,01/01/1970,0.006272614,Luxembourg
1,01/01/1970,15.166714436,Netherlands
1,01/01/1970,0,North Macedonia
1,01/01/1970,0,Norway
1,01/01/1970,5.198538263,Poland
1,01/01/1970,0,Portugal
1,01/01/1970,18.336531535,Romania
1,01/01/1970,1.0427773,Slovakia
1,01/01/1970,0,Slovenia
1,01/01/1970,0.064264832,Spain
1,01/01/1970,0,Sweden
1,01/01/1970,0.033104041,Switzerland
1,01/01/1970,0,Turkey
1,01/01/1970,0,Ukraine
1,01/01/1970,10.17,United Kingdom
1,01/01/1970,,Azerbaijan
1,01/01/1970,,Belarus
1,01/01/1970,,Kazakhstan
1,01/01/1970,,Russian Federation
1,01/01/1970,,Turkmenistan
1,01/01/1970,162.927554407,USSR
1,01/01/1970,,Uzbekistan
1,01/01/1970,2.194716672,Iran
1,01/01/1970,0.637145314,Iraq
1,01/01/1970,0.11080818,Israel
1,01/01/1970,1.663929493,Kuwait
1,01/01/1970,0,Oman
1,01/01/1970,0.89438951,Qatar
1,01/01/1970,1.320851247,Saudi Arabia
1,01/01/1970,0.704213242,United Arab Emirates
1,01/01/1970,0.836704643,Algeria
1,01/01/1970,0.070346088,Egypt
1,01/01/1970,0.041816423,Morocco
1,01/01/1970,0,South Africa
1,01/01/1970,0.000795357,Eastern Africa
1,01/01/1970,1.487874,Australia
1,01/01/1970,0,Bangladesh
1,01/01/1970,2.487167846,China
1,01/01/1970,0,China Hong Kong SAR
1,01/01/1970,0.544150146,India
1,01/01/1970,1.081328461,Indonesia
1,01/01/1970,3.071495479,Japan
1,01/01/1970,0.007,Malaysia
1,01/01/1970,0.061083405,New Zealand
1,01/01/1970,2.502487102,Pakistan
1,01/01/1970,0,Philippines
1,01/01/1970,0,Singapore
1,01/01/1970,0,South Korea
1,01/01/1970,0,Sri Lanka
1,01/01/1970,0.483255167,Taiwan
1,01/01/1970,0,Thailand
1,01/01/1970,0,Vietnam
1,01/01/1971,31.785490112,Canada
1,01/01/1971,8.907524378,Mexico
1,01/01/1971,509.589527417,US
1,01/01/1971,5.434460447,Argentina
1,01/01/1971,0.109831858,Brazil
1,01/01/1971,0.563134136,Chile
1,01/01/1971,1.118185727,Colombia
1,01/01/1971,0.06,Ecuador
1,01/01/1971,0.408007309,Peru
1,01/01/1971,1.602321582,Trinidad & Tobago
1,01/01/1971,7.131487532,Venezuela
1,01/01/1971,2.795068505,Austria
1,01/01/1971,4.71322012,Belgium
1,01/01/1971,0.24733448,Bulgaria
1,01/01/1971,0,Croatia
1,01/01/1971,0,Cyprus
1,01/01/1971,0.855975924,Czech Republic
1,01/01/1971,0,Denmark
1,01/01/1971,0,Estonia
1,01/01/1971,0,Finland
1,01/01/1971,9.735641,France
1,01/01/1971,18.144860892,Germany
1,01/01/1971,0,Greece
1,01/01/1971,3.254987102,Hungary
1,01/01/1971,0,Iceland
1,01/01/1971,0,Ireland
1,01/01/1971,10.868228719,Italy
1,01/01/1971,0,Latvia
1,01/01/1971,0,Lithuania
1,01/01/1971,0.0126,Luxembourg
1,01/01/1971,19.82420942,Netherlands
1,01/01/1971,0,North Macedonia
1,01/01/1971,0,Norway
1,01/01/1971,5.717325881,Poland
1,01/01/1971,0,Portugal
1,01/01/1971,19.605734007,Romania
1,01/01/1971,1.309006879,Slovakia
1,01/01/1971,0,Slovenia
1,01/01/1971,0.34216681,Spain
1,01/01/1971,0,Sweden
1,01/01/1971,0.079965606,Switzerland
1,01/01/1971,0,Turkey
1,01/01/1971,0,Ukraine
1,01/01/1971,16.398,United Kingdom
1,01/01/1971,,Azerbaijan
1,01/01/1971,,Belarus
1,01/01/1971,,Kazakhstan
1,01/01/1971,,Russian Federation
1,01/01/1971,,Turkmenistan
1,01/01/1971,178.092720761,USSR
1,01/01/1971,,Uzbekistan
1,01/01/1971,2.540280477,Iran
1,01/01/1971,0.755588994,Iraq
1,01/01/1971,0.103720933,Israel
1,01/01/1971,1.718658641,Kuwait
1,01/01/1971,0,Oman
1,01/01/1971,0.89438951,Qatar
1,01/01/1971,1.101934652,Saudi Arabia
1,01/01/1971,1.115004299,United Arab Emirates
1,01/01/1971,0.950085985,Algeria
1,01/01/1971,0.070346088,Egypt
1,01/01/1971,0.043173,Morocco
1,01/01/1971,0.052862142,South Africa
1,01/01/1971,0.000795357,Eastern Africa
1,01/01/1971,2.2206947,Australia
1,01/01/1971,0,Bangladesh
1,01/01/1971,3.24111768,China
1,01/01/1971,0,China Hong Kong SAR
1,01/01/1971,0.576631019,India
1,01/01/1971,1.093546862,Indonesia
1,01/01/1971,3.293358213,Japan
1,01/01/1971,0.071259274,Malaysia
1,01/01/1971,0.077592433,New Zealand
1,01/01/1971,2.495307395,Pakistan
1,01/01/1971,0,Philippines
1,01/01/1971,0,Singapore
1,01/01/1971,0,South Korea
1,01/01/1971,0,Sri Lanka
1,01/01/1971,0.971416478,Taiwan
1,01/01/1971,0,Thailand
1,01/01/1971,0,Vietnam
1,01/01/1972,35.751919604,Canada
1,01/01/1972,9.525337159,Mexico
1,01/01/1972,514.786289841,US
1,01/01/1972,6.098402837,Argentina
1,01/01/1972,0.150800885,Brazil
1,01/01/1972,0.512704213,Chile
1,01/01/1972,1.365885641,Colombia
1,01/01/1972,0.087,Ecuador
1,01/01/1972,0.392282889,Peru
1,01/01/1972,1.656126397,Trinidad & Tobago
1,01/01/1972,7.088538263,Venezuela
1,01/01/1972,3.020615002,Austria
1,01/01/1972,5.942691316,Belgium
1,01/01/1972,0.166638005,Bulgaria
1,01/01/1972,0,Croatia
1,01/01/1972,0,Cyprus
1,01/01/1972,0.929535684,Czech Republic
1,01/01/1972,0,Denmark
1,01/01/1972,0,Estonia
1,01/01/1972,0,Finland
1,01/01/1972,11.512274,France
1,01/01/1972,23.49306601,Germany
1,01/01/1972,0,Greece
1,01/01/1972,3.513306105,Hungary
1,01/01/1972,0,Iceland
1,01/01/1972,0,Ireland
1,01/01/1972,12.463134136,Italy
1,01/01/1972,0,Latvia
1,01/01/1972,0,Lithuania
1,01/01/1972,0.1008,Luxembourg
1,01/01/1972,25.795356836,Netherlands
1,01/01/1972,0,North Macedonia
1,01/01/1972,0,Norway
1,01/01/1972,6.016036113,Poland
1,01/01/1972,0,Portugal
1,01/01/1972,19.902646625,Romania
1,01/01/1972,1.421496131,Slovakia
1,01/01/1972,0,Slovenia
1,01/01/1972,1.007394669,Spain
1,01/01/1972,0,Sweden
1,01/01/1972,0.101461737,Switzerland
1,01/01/1972,0,Turkey
1,01/01/1972,0,Ukraine
1,01/01/1972,23.27,United Kingdom
1,01/01/1972,,Azerbaijan
1,01/01/1972,,Belarus
1,01/01/1972,,Kazakhstan
1,01/01/1972,,Russian Federation
1,01/01/1972,,Turkmenistan
1,01/01/1972,187.315803987,USSR
1,01/01/1972,,Uzbekistan
1,01/01/1972,2.90782002,Iran
1,01/01/1972,0.763757524,Iraq
1,01/01/1972,0.102531954,Israel
1,01/01/1972,2.031513328,Kuwait
1,01/01/1972,0,Oman
1,01/01/1972,0.981603611,Qatar
1,01/01/1972,1.248968186,Saudi Arabia
1,01/01/1972,1.156921754,United Arab Emirates
1,01/01/1972,1.103192175,Algeria
1,01/01/1972,0.058759673,Egypt
1,01/01/1972,0.046762,Morocco
1,01/01/1972,0.078796062,South Africa
1,01/01/1972,0.000795357,Eastern Africa
1,01/01/1972,3.1878128,Australia
1,01/01/1972,0.378,Bangladesh
1,01/01/1972,4.194387586,China
1,01/01/1972,0,China Hong Kong SAR
1,01/01/1972,0.632494089,India
1,01/01/1972,1.072601032,Indonesia
1,01/01/1972,3.29465282,Japan
1,01/01/1972,0.09978539,Malaysia
1,01/01/1972,0.140601892,New Zealand
1,01/01/1972,2.312583835,Pakistan
1,01/01/1972,0,Philippines
1,01/01/1972,0,Singapore
1,01/01/1972,0,South Korea
1,01/01/1972,0,Sri Lanka
1,01/01/1972,1.130866153,Taiwan
1,01/01/1972,0,Thailand
1,01/01/1972,0,Vietnam
1,01/01/1974,38.43333405,Canada
1,01/01/1974,11.104645775,Mexico
1,01/01/1974,492.884536896,US
1,01/01/1974,7.345176268,Argentina
1,01/01/1974,0.332110619,Brazil
1,01/01/1974,0.419408856,Chile
1,01/01/1974,1.472549441,Colombia
1,01/01/1974,0.1,Ecuador
1,01/01/1974,0.395593293,Peru
1,01/01/1974,1.453116939,Trinidad & Tobago
1,01/01/1974,9.228366294,Venezuela
1,01/01/1974,3.598621671,Austria
1,01/01/1974,8.371173689,Belgium
1,01/01/1974,0.365821152,Bulgaria
1,01/01/1974,0,Croatia
1,01/01/1974,0,Cyprus
1,01/01/1974,1.244647463,Czech Republic
1,01/01/1974,0,Denmark
1,01/01/1974,0,Estonia
1,01/01/1974,0.382153435,Finland
1,01/01/1974,14.097958,France
1,01/01/1974,37.898961226,Germany
1,01/01/1974,0,Greece
1,01/01/1974,4.443293207,Hungary
1,01/01/1974,0,Iceland
1,01/01/1974,0,Ireland
1,01/01/1974,15.746797077,Italy
1,01/01/1974,0,Latvia
1,01/01/1974,0,Lithuania
1,01/01/1974,0.2709,Luxembourg
1,01/01/1974,30.524505589,Netherlands
1,01/01/1974,0,North Macedonia
1,01/01/1974,0,Norway
1,01/01/1974,6.431147893,Poland
1,01/01/1974,0,Portugal
1,01/01/1974,21.704708276,Romania
1,01/01/1974,1.903374893,Slovakia
1,01/01/1974,0,Slovenia
1,01/01/1974,1.215821152,Spain
1,01/01/1974,0,Sweden
1,01/01/1974,0.289337919,Switzerland
1,01/01/1974,0,Turkey
1,01/01/1974,0,Ukraine
1,01/01/1974,30.114,United Kingdom
1,01/01/1974,,Azerbaijan
1,01/01/1974,,Belarus
1,01/01/1974,,Kazakhstan
1,01/01/1974,,Russian Federation
1,01/01/1974,,Turkmenistan
1,01/01/1974,216.006606772,USSR
1,01/01/1974,,Uzbekistan
1,01/01/1974,3.591150648,Iran
1,01/01/1974,0.68288908,Iraq
1,01/01/1974,0.054389961,Israel
1,01/01/1974,2.394196045,Kuwait
1,01/01/1974,0,Oman
1,01/01/1974,1.155141874,Qatar
1,01/01/1974,1.860791058,Saudi Arabia
1,01/01/1974,1.509028375,United Arab Emirates
1,01/01/1974,1.777687016,Algeria
1,01/01/1974,0.049656062,Egypt
1,01/01/1974,0.067092,Morocco
1,01/01/1974,0.100132481,South Africa
1,01/01/1974,0.000795357,Eastern Africa
1,01/01/1974,4.61754,Australia
1,01/01/1974,0.575,Bangladesh
1,01/01/1974,6.525565811,China
1,01/01/1974,0,China Hong Kong SAR
1,01/01/1974,0.71401279,India
1,01/01/1974,0.983581255,Indonesia
1,01/01/1974,6.265946111,Japan
1,01/01/1974,0.208018184,Malaysia
1,01/01/1974,0.230765121,New Zealand
1,01/01/1974,2.914243336,Pakistan
1,01/01/1974,0,Philippines
1,01/01/1974,0,Singapore
1,01/01/1974,0,South Korea
1,01/01/1974,0,Sri Lanka
1,01/01/1974,1.373720273,Taiwan
1,01/01/1974,0,Thailand
1,01/01/1974,0,Vietnam
1,01/01/1975,39.688865004,Canada
1,01/01/1975,11.297535782,Mexico
1,01/01/1975,452.410376323,US
1,01/01/1975,7.525795357,Argentina
1,01/01/1975,0.360876106,Brazil
1,01/01/1975,0.47572227,Chile
1,01/01/1975,1.387983663,Colombia
1,01/01/1975,0.125,Ecuador
1,01/01/1975,0.488284609,Peru
1,01/01/1975,1.320700774,Trinidad & Tobago
1,01/01/1975,8.97544282,Venezuela
1,01/01/1975,3.594292242,Austria
1,01/01/1975,8.271259673,Belgium
1,01/01/1975,0.971517627,Bulgaria
1,01/01/1975,0,Croatia
1,01/01/1975,0,Cyprus
1,01/01/1975,1.424935512,Czech Republic
1,01/01/1975,0,Denmark
1,01/01/1975,0,Estonia
1,01/01/1975,0.632416165,Finland
1,01/01/1975,15.72399,France
1,01/01/1975,39.99514046,Germany
1,01/01/1975,0,Greece
