Countries,Nuclear Gen Value (group),Number of Records,Year,Nuclear Gen Value
Hungary,7.4245919999999996,1,1986,7.424592
Iceland,-10,1,1986,0
Ireland,-10,1,1986,0
Italy,8.7592508000000002,1,1986,8.7592508
Latvia,-10,1,1986,0
Lithuania,9.8817784,1,1986,9.8817784
Luxembourg,-10,1,1986,0
Netherlands,4.2161076,1,1986,4.2161076
North Macedonia,,1,1986,
Norway,-10,1,1986,0
Poland,-10,1,1986,0
Portugal,-10,1,1986,0
Romania,-10,1,1986,0
Slovakia,11.7202488,1,1986,11.7202488
Slovenia,,1,1986,
Spain,37.463253799999997,1,1986,37.4632538
Sweden,69.950999999999993,1,1986,69.951
Switzerland,22.42421053,1,1986,22.42421053
Turkey,-10,1,1986,0
Ukraine,42.709081599999998,1,1986,42.7090816
United Kingdom,59.087378000000001,1,1986,59.087378
Azerbaijan,-10,1,1986,0
Belarus,-10,1,1986,0
Kazakhstan,-10,1,1986,0
Russian Federation,105.2214946,1,1986,105.2214946
Turkmenistan,-10,1,1986,0
USSR,,1,1986,
Uzbekistan,-10,1,1986,0
Iran,-10,1,1986,0
Iraq,-10,1,1986,0
Israel,-10,1,1986,0
Kuwait,-10,1,1986,0
Oman,-10,1,1986,0
Qatar,-10,1,1986,0
Saudi Arabia,-10,1,1986,0
United Arab Emirates,-10,1,1986,0
Algeria,-10,1,1986,0
Egypt,-10,1,1986,0
Morocco,-10,1,1986,0
South Africa,8.8030000000000008,1,1986,8.803
Eastern Africa,-10,1,1986,0
Australia,-10,1,1986,0
Bangladesh,-10,1,1986,0
China,-10,1,1986,0
Hong Kong SAR,-10,1,1986,0
India,5.0204383999999997,1,1986,5.0204384
Indonesia,-10,1,1986,0
Japan,165.369719,1,1986,165.369719
Malaysia,-10,1,1986,0
New Zealand,-10,1,1986,0
Pakistan,0.52590859999999995,1,1986,0.5259086
Philippines,-10,1,1986,0
Singapore,-10,1,1986,0
South Korea,28.311216999999999,1,1986,28.311217
Sri Lanka,-10,1,1986,0
Taiwan,26.940797,1,1986,26.940797
Thailand,-10,1,1986,0
Vietnam,-10,1,1986,0
Canada,77.273208999999994,1,1987,77.273209
Mexico,-10,1,1987,0
US,479.23198109999998,1,1987,479.2319811
Argentina,6.4655822000000001,1,1987,6.4655822
Brazil,0.97299999999999998,1,1987,0.973
Chile,-10,1,1987,0
Colombia,-10,1,1987,0
Ecuador,-10,1,1987,0
Peru,-10,1,1987,0
Trinidad and Tobago,-10,1,1987,0
Venezuela,-10,1,1987,0
Austria,-10,1,1987,0
Belgium,41.966999999999999,1,1987,41.967
Bulgaria,12.436191600000001,1,1987,12.4361916
Croatia,,1,1987,
Cyprus,-10,1,1987,0
Czech Republic,10.7037868,1,1987,10.7037868
Denmark,-10,1,1987,0
Estonia,-10,1,1987,0
Finland,19.509473679999999,1,1987,19.50947368
France,265.51999999999998,1,1987,265.52
Germany,141.7478356,1,1987,141.7478356
Greece,-10,1,1987,0
Hungary,10.986628400000001,1,1987,10.9866284
Iceland,-10,1,1987,0
Ireland,-10,1,1987,0
Italy,0.1723566,1,1987,0.1723566
Latvia,-10,1,1987,0
Lithuania,9.1835132000000002,1,1987,9.1835132
Luxembourg,-10,1,1987,0
Netherlands,3.5531975999999998,1,1987,3.5531976
North Macedonia,,1,1987,
Norway,-10,1,1987,0
Poland,-10,1,1987,0
Portugal,-10,1,1987,0
Romania,-10,1,1987,0
Slovakia,11.512537,1,1987,11.512537
Slovenia,,1,1987,
Spain,41.277196000000004,1,1987,41.277196
Sweden,67.385000000000005,1,1987,67.385
Switzerland,22.843157900000001,1,1987,22.8431579
Turkey,-10,1,1987,0
Ukraine,50.425353999999999,1,1987,50.425354
United Kingdom,55.246919400000003,1,1987,55.2469194
Azerbaijan,-10,1,1987,0
Belarus,-10,1,1987,0
Kazakhstan,-10,1,1987,0
Russian Federation,124.70220980000001,1,1987,124.7022098
Turkmenistan,-10,1,1987,0
USSR,,1,1987,
Uzbekistan,-10,1,1987,0
Iran,-10,1,1987,0
Iraq,-10,1,1987,0
Israel,-10,1,1987,0
Kuwait,-10,1,1987,0
Oman,-10,1,1987,0
Qatar,-10,1,1987,0
Saudi Arabia,-10,1,1987,0
United Arab Emirates,-10,1,1987,0
Algeria,-10,1,1987,0
Egypt,-10,1,1987,0
Morocco,-10,1,1987,0
South Africa,6.1669999999999998,1,1987,6.167
Eastern Africa,-10,1,1987,0
Australia,-10,1,1987,0
Bangladesh,-10,1,1987,0
China,-10,1,1987,0
Hong Kong SAR,-10,1,1987,0
India,5.3209575999999998,1,1987,5.3209576
Indonesia,-10,1,1987,0
Japan,188.60499799999999,1,1987,188.604998
Malaysia,-10,1,1987,0
New Zealand,-10,1,1987,0
Pakistan,0.3049386,1,1987,0.3049386
Philippines,-10,1,1987,0
Singapore,-10,1,1987,0
South Korea,39.314193000000003,1,1987,39.314193
Sri Lanka,-10,1,1987,0
Taiwan,33.128328000000003,1,1987,33.128328
Thailand,-10,1,1987,0
Vietnam,-10,1,1987,0
Canada,82.881427599999995,1,1988,82.8814276
Mexico,-10,1,1988,0
US,554.70847049999998,1,1988,554.7084705
Argentina,5.7982528000000002,1,1988,5.7982528
Brazil,0.60799999999999998,1,1988,0.608
Chile,-10,1,1988,0
Colombia,-10,1,1988,0
Ecuador,-10,1,1988,0
Peru,-10,1,1988,0
Trinidad and Tobago,-10,1,1988,0
Venezuela,-10,1,1988,0
Austria,-10,1,1988,0
Belgium,43.101999999999997,1,1988,43.102
Bulgaria,16.033583199999999,1,1988,16.0335832
Croatia,,1,1988,
Cyprus,-10,1,1988,0
Czech Republic,11.821895,1,1988,11.821895
Denmark,-10,1,1988,0
Estonia,-10,1,1988,0
Finland,19.417894740000001,1,1988,19.41789474
France,275.52100000000002,1,1988,275.521
Germany,156.84892540000001,1,1988,156.8489254
Greece,-10,1,1988,0
Hungary,13.4482342,1,1988,13.4482342
Iceland,-10,1,1988,0
Ireland,-10,1,1988,0
Italy,-10,1,1988,0
Latvia,-10,1,1988,0
Lithuania,12.8118406,1,1988,12.8118406
Luxembourg,-10,1,1988,0
Netherlands,3.6769408000000001,1,1988,3.6769408
North Macedonia,,1,1988,
Norway,-10,1,1988,0
Poland,-10,1,1988,0
Portugal,-10,1,1988,0
Romania,-10,1,1988,0
Slovakia,11.472762400000001,1,1988,11.4727624
Slovenia,,1,1988,
Spain,50.473967399999999,1,1988,50.4739674
Sweden,69.424000000000007,1,1988,69.424
Switzerland,22.633684209999998,1,1988,22.63368421
Turkey,-10,1,1988,0
Ukraine,72.000864800000002,1,1988,72.0008648
United Kingdom,63.467003400000003,1,1988,63.4670034
Azerbaijan,-10,1,1988,0
Belarus,-10,1,1988,0
Kazakhstan,-10,1,1988,0
Russian Federation,134.81379699999999,1,1988,134.813797
Turkmenistan,-10,1,1988,0
USSR,,1,1988,
Uzbekistan,-10,1,1988,0
Iran,-10,1,1988,0
Iraq,-10,1,1988,0
Israel,-10,1,1988,0
Kuwait,-10,1,1988,0
Oman,-10,1,1988,0
Qatar,-10,1,1988,0
Saudi Arabia,-10,1,1988,0
United Arab Emirates,-10,1,1988,0
Algeria,-10,1,1988,0
Egypt,-10,1,1988,0
Morocco,-10,1,1988,0
South Africa,10.493,1,1988,10.493
Eastern Africa,-10,1,1988,0
Australia,-10,1,1988,0
Bangladesh,-10,1,1988,0
China,-10,1,1988,0
Hong Kong SAR,-10,1,1988,0
India,6.0766749999999998,1,1988,6.076675
Indonesia,-10,1,1988,0
Japan,173.89693299999999,1,1988,173.896933
Malaysia,-10,1,1988,0
New Zealand,-10,1,1988,0
Pakistan,0.1944536,1,1988,0.1944536
Philippines,-10,1,1988,0
Singapore,-10,1,1988,0
South Korea,40.100672000000003,1,1988,40.100672
Sri Lanka,-10,1,1988,0
Taiwan,30.651254999999999,1,1988,30.651255
Thailand,-10,1,1988,0
Vietnam,-10,1,1988,0
Canada,79.316842109999996,1,1989,79.31684211
Mexico,0.37122959999999999,1,1989,0.3712296
US,557.21549159999995,1,1989,557.2154916
Argentina,5.0381159999999996,1,1989,5.038116
Brazil,1.8300000000000001,1,1989,1.83
Chile,-10,1,1989,0
Colombia,-10,1,1989,0
Ecuador,-10,1,1989,0
Peru,-10,1,1989,0
Trinidad and Tobago,-10,1,1989,0
Venezuela,-10,1,1989,0
Austria,-10,1,1989,0
Belgium,41.216999999999999,1,1989,41.217
Bulgaria,14.5663424,1,1989,14.5663424
Croatia,,1,1989,
Cyprus,-10,1,1989,0
Czech Republic,12.418514,1,1989,12.418514
Denmark,-10,1,1989,0
Estonia,-10,1,1989,0
Finland,18.95789474,1,1989,18.95789474
France,303.93099999999998,1,1989,303.931
Germany,161.70584600000001,1,1989,161.705846
Greece,-10,1,1989,0
Hungary,13.8945936,1,1989,13.8945936
Iceland,-10,1,1989,0
Ireland,-10,1,1989,0
Italy,-10,1,1989,0
Latvia,-10,1,1989,0
Lithuania,16.652299200000002,1,1989,16.6522992
Luxembourg,-10,1,1989,0
Netherlands,4.0216539999999998,1,1989,4.021654
North Macedonia,,1,1989,
Norway,-10,1,1989,0
Poland,-10,1,1989,0
Portugal,-10,1,1989,0
Romania,-10,1,1989,0
Slovakia,12.162188799999999,1,1989,12.1621888
Slovenia,,1,1989,
Spain,56.1396382,1,1989,56.1396382
Sweden,65.602999999999994,1,1989,65.603
Switzerland,22.676842109999999,1,1989,22.67684211
Turkey,-10,1,1989,0
Ukraine,66.516389399999994,1,1989,66.5163894
United Kingdom,71.744539599999996,1,1989,71.7445396
Azerbaijan,-10,1,1989,0
Belarus,-10,1,1989,0
Kazakhstan,0.10164620000000001,1,1989,0.1016462
Russian Federation,136.33849000000001,1,1989,136.33849
Turkmenistan,-10,1,1989,0
USSR,,1,1989,
Uzbekistan,-10,1,1989,0
Iran,-10,1,1989,0
Iraq,-10,1,1989,0
Israel,-10,1,1989,0
Kuwait,-10,1,1989,0
Oman,-10,1,1989,0
Qatar,-10,1,1989,0
Saudi Arabia,-10,1,1989,0
United Arab Emirates,-10,1,1989,0
Algeria,-10,1,1989,0
Egypt,-10,1,1989,0
Morocco,-10,1,1989,0
South Africa,11.099,1,1989,11.099
Eastern Africa,-10,1,1989,0
Australia,-10,1,1989,0
Bangladesh,-10,1,1989,0
China,-10,1,1989,0
Hong Kong SAR,-10,1,1989,0
India,4.0216539999999998,1,1989,4.021654
Indonesia,-10,1,1989,0
Japan,185.81419600000001,1,1989,185.814196
Malaysia,-10,1,1989,0
New Zealand,-10,1,1989,0
Pakistan,0.11932379999999999,1,1989,0.1193238
Philippines,-10,1,1989,0
Singapore,-10,1,1989,0
South Korea,47.365172000000001,1,1989,47.365172
Sri Lanka,-10,1,1989,0
Taiwan,28.276138,1,1989,28.276138
Thailand,-10,1,1989,0
Vietnam,-10,1,1989,0
Canada,72.459999999999994,1,1990,72.46
Mexico,2.938901,1,1990,2.938901
US,607.22281889999999,1,1990,607.2228189
Argentina,7.2787518000000002,1,1990,7.2787518
Brazil,2.2370000000000001,1,1990,2.237
Chile,-10,1,1990,0
Colombia,-10,1,1990,0
Ecuador,-10,1,1990,0
Peru,-10,1,1990,0
Trinidad and Tobago,-10,1,1990,0
Venezuela,-10,1,1990,0
Austria,-10,1,1990,0
Belgium,42.722000000000001,1,1990,42.722
Bulgaria,14.664999999999999,1,1990,14.665
Croatia,,1,1990,
Cyprus,-10,1,1990,0
Czech Republic,12.586451199999999,1,1990,12.5864512
Denmark,-10,1,1990,0
Estonia,-10,1,1990,0
Finland,19.082105259999999,1,1990,19.08210526
France,314.08100000000002,1,1990,314.081
Germany,152.5,1,1990,152.5
Greece,-10,1,1990,0
Hungary,13.731,1,1990,13.731
Iceland,-10,1,1990,0
Ireland,-10,1,1990,0
Italy,-10,1,1990,0
Latvia,-10,1,1990,0
Lithuania,17.033000000000001,1,1990,17.033
Luxembourg,-10,1,1990,0
Netherlands,3.5019999999999998,1,1990,3.502
North Macedonia,,1,1990,
Norway,-10,1,1990,0
Poland,-10,1,1990,0
Portugal,-10,1,1990,0
Romania,-10,1,1990,0
Slovakia,12.036,1,1990,12.036
Slovenia,4.6219999999999999,1,1990,4.622
Spain,54.268000000000001,1,1990,54.268
Sweden,68.185000000000002,1,1990,68.185
Switzerland,23.471578950000001,1,1990,23.47157895
Turkey,-10,1,1990,0
Ukraine,76.179000000000002,1,1990,76.179
United Kingdom,65.760672,1,1990,65.760672
Azerbaijan,-10,1,1990,0
Belarus,-10,1,1990,0
Kazakhstan,-10,1,1990,0
Russian Federation,118.3250156,1,1990,118.3250156
Turkmenistan,-10,1,1990,0
USSR,,1,1990,
Uzbekistan,-10,1,1990,0
Iran,-10,1,1990,0
Iraq,-10,1,1990,0
Israel,-10,1,1990,0
Kuwait,-10,1,1990,0
Oman,-10,1,1990,0
Qatar,-10,1,1990,0
Saudi Arabia,-10,1,1990,0
United Arab Emirates,-10,1,1990,0
Algeria,-10,1,1990,0
Egypt,-10,1,1990,0
Morocco,-10,1,1990,0
South Africa,8.4489999999999998,1,1990,8.449
Eastern Africa,-10,1,1990,0
Australia,-10,1,1990,0
Bangladesh,-10,1,1990,0
China,-10,1,1990,0
Hong Kong SAR,-10,1,1990,0
India,6.3948717999999998,1,1990,6.3948718
Indonesia,-10,1,1990,0
Japan,194.57127500000001,1,1990,194.571275
Malaysia,-10,1,1990,0
New Zealand,-10,1,1990,0
Pakistan,0.41984300000000002,1,1990,0.419843
Philippines,-10,1,1990,0
Singapore,-10,1,1990,0
South Korea,52.886561999999998,1,1990,52.886562
Sri Lanka,-10,1,1990,0
Taiwan,32.865952999999998,1,1990,32.865953
Thailand,-10,1,1990,0
Vietnam,-10,1,1990,0
Canada,84.33894737,1,1991,84.33894737
Mexico,4.2426240000000002,1,1991,4.242624
US,644.80535469999995,1,1991,644.8053547
Argentina,7.7560469999999997,1,1991,7.756047
Brazil,1.4419999999999999,1,1991,1.442
Chile,-10,1,1991,0
Colombia,-10,1,1991,0
Ecuador,-10,1,1991,0
Peru,-10,1,1991,0
Trinidad and Tobago,-10,1,1991,0
Venezuela,-10,1,1991,0
Austria,-10,1,1991,0
Belgium,42.860999999999997,1,1991,42.861
Bulgaria,13.183999999999999,1,1991,13.184
Croatia,,1,1991,
Cyprus,-10,1,1991,0
Czech Republic,12.135672400000001,1,1991,12.1356724
Denmark,-10,1,1991,0
Estonia,-10,1,1991,0
Finland,19.375789470000001,1,1991,19.37578947
France,331.33999999999997,1,1991,331.34
Germany,147.40000000000001,1,1991,147.4
Greece,-10,1,1991,0
Hungary,13.725999999999999,1,1991,13.726
Iceland,-10,1,1991,0
Ireland,-10,1,1991,0
Italy,-10,1,1991,0
Latvia,-10,1,1991,0
Lithuania,17.0,1,1991,17
Luxembourg,-10,1,1991,0
Netherlands,3.3290000000000002,1,1991,3.329
North Macedonia,,1,1991,
Norway,-10,1,1991,0
Poland,-10,1,1991,0
Portugal,-10,1,1991,0
Romania,-10,1,1991,0
Slovakia,11.689,1,1991,11.689
Slovenia,4.952,1,1991,4.952
Spain,55.578000000000003,1,1991,55.578
Sweden,76.760999999999996,1,1991,76.761
Switzerland,22.793684209999999,1,1991,22.79368421
Turkey,-10,1,1991,0
Ukraine,75.131,1,1991,75.131
United Kingdom,70.555721000000005,1,1991,70.555721
Azerbaijan,-10,1,1991,0
Belarus,-10,1,1991,0
Kazakhstan,0.53916679999999995,1,1991,0.5391668
Russian Federation,119.9838,1,1991,119.9838
Turkmenistan,-10,1,1991,0
USSR,,1,1991,
Uzbekistan,-10,1,1991,0
Iran,-10,1,1991,0
Iraq,-10,1,1991,0
Israel,-10,1,1991,0
Kuwait,-10,1,1991,0
Oman,-10,1,1991,0
Qatar,-10,1,1991,0
Saudi Arabia,-10,1,1991,0
United Arab Emirates,-10,1,1991,0
Algeria,-10,1,1991,0
Egypt,-10,1,1991,0
Morocco,-10,1,1991,0
South Africa,9.1440000000000001,1,1991,9.144
Eastern Africa,-10,1,1991,0
Australia,-10,1,1991,0
Bangladesh,-10,1,1991,0
China,-10,1,1991,0
Hong Kong SAR,-10,1,1991,0
India,5.4137649999999997,1,1991,5.413765
Indonesia,-10,1,1991,0
Japan,208.693522,1,1991,208.693522
Malaysia,-10,1,1991,0
New Zealand,-10,1,1991,0
Pakistan,0.41984300000000002,1,1991,0.419843
Philippines,-10,1,1991,0
Singapore,-10,1,1991,0
South Korea,56.310749999999999,1,1991,56.31075
Sri Lanka,-10,1,1991,0
Taiwan,35.290081999999998,1,1991,35.290082
Thailand,-10,1,1991,0
Vietnam,-10,1,1991,0
Canada,80.022105260000004,1,1992,80.02210526
Mexico,3.9200078,1,1992,3.9200078
US,651.34343469999999,1,1992,651.3434347
Argentina,7.0842982000000001,1,1992,7.0842982
Brazil,1.7589999999999999,1,1992,1.759
Chile,-10,1,1992,0
Colombia,-10,1,1992,0
Ecuador,-10,1,1992,0
Peru,-10,1,1992,0
Trinidad and Tobago,-10,1,1992,0
Venezuela,-10,1,1992,0
Austria,-10,1,1992,0
Belgium,43.456000000000003,1,1992,43.456
Bulgaria,11.552,1,1992,11.552
Croatia,,1,1992,
Cyprus,-10,1,1992,0
Czech Republic,12.254996200000001,1,1992,12.2549962
Denmark,-10,1,1992,0
Estonia,-10,1,1992,0
Finland,19.12631579,1,1992,19.12631579
France,338.44499999999999,1,1992,338.445
Germany,158.80000000000001,1,1992,158.8
Greece,-10,1,1992,0
Hungary,13.964,1,1992,13.964
Iceland,-10,1,1992,0
Ireland,-10,1,1992,0
Italy,-10,1,1992,0
Latvia,-10,1,1992,0
Lithuania,14.638,1,1992,14.638
Luxembourg,-10,1,1992,0
Netherlands,3.7999999999999998,1,1992,3.8
North Macedonia,,1,1992,
Norway,-10,1,1992,0
Poland,-10,1,1992,0
Portugal,-10,1,1992,0
Romania,-10,1,1992,0
Slovakia,11.050000000000001,1,1992,11.05
Slovenia,3.9710000000000001,1,1992,3.971
Spain,55.781999999999996,1,1992,55.782
Sweden,63.543999999999997,1,1992,63.544
Switzerland,23.28526316,1,1992,23.28526316
Turkey,-10,1,1992,0
Ukraine,73.75,1,1992,73.75
United Kingdom,76.818010799999996,1,1992,76.8180108
Azerbaijan,-10,1,1992,0
Belarus,-10,1,1992,0
Kazakhstan,0.46403699999999998,1,1992,0.464037
Russian Federation,119.626,1,1992,119.626
Turkmenistan,-10,1,1992,0
USSR,,1,1992,
Uzbekistan,-10,1,1992,0
Iran,-10,1,1992,0
Iraq,-10,1,1992,0
Israel,-10,1,1992,0
Kuwait,-10,1,1992,0
Oman,-10,1,1992,0
Qatar,-10,1,1992,0
Saudi Arabia,-10,1,1992,0
United Arab Emirates,-10,1,1992,0
Algeria,-10,1,1992,0
Egypt,-10,1,1992,0
Morocco,-10,1,1992,0
South Africa,9.2880002850000007,1,1992,9.288000285
Eastern Africa,-10,1,1992,0
Australia,-10,1,1992,0
Bangladesh,-10,1,1992,0
China,-10,1,1992,0
Hong Kong SAR,-10,1,1992,0
India,6.4037106000000001,1,1992,6.4037106
Indonesia,-10,1,1992,0
Japan,217.03513000000001,1,1992,217.03513
Malaysia,-10,1,1992,0
New Zealand,-10,1,1992,0
Pakistan,0.55242500000000005,1,1992,0.552425
Philippines,-10,1,1992,0
Singapore,-10,1,1992,0
South Korea,56.530214000000001,1,1992,56.530214
Sri Lanka,-10,1,1992,0
Taiwan,33.844504999999998,1,1992,33.844505
Thailand,-10,1,1992,0
Vietnam,-10,1,1992,0
Canada,93.284210529999996,1,1993,93.28421053
Mexico,4.9320503999999996,1,1993,4.9320504
US,642.41180420000001,1,1993,642.4118042
Argentina,7.7516276,1,1993,7.7516276
Brazil,0.442,1,1993,0.442
Chile,-10,1,1993,0
Colombia,-10,1,1993,0
Ecuador,-10,1,1993,0
Peru,-10,1,1993,0
Trinidad and Tobago,-10,1,1993,0
Venezuela,-10,1,1993,0
Austria,-10,1,1993,0
Belgium,41.927,1,1993,41.927
Bulgaria,13.973000000000001,1,1993,13.973
Croatia,,1,1993,
Cyprus,-10,1,1993,0
Czech Republic,12.6306452,1,1993,12.6306452
Denmark,-10,1,1993,0
Estonia,-10,1,1993,0
Finland,19.78947368,1,1993,19.78947368
France,368.18799999999999,1,1993,368.188
Germany,153.5,1,1993,153.5
Greece,-10,1,1993,0
Hungary,13.795999999999999,1,1993,13.796
Iceland,-10,1,1993,0
Ireland,-10,1,1993,0
Italy,-10,1,1993,0
Latvia,-10,1,1993,0
Lithuania,12.26,1,1993,12.26
Luxembourg,-10,1,1993,0
Netherlands,3.948,1,1993,3.948
North Macedonia,,1,1993,
Norway,-10,1,1993,0
Poland,-10,1,1993,0
Portugal,-10,1,1993,0
Romania,-10,1,1993,0
Slovakia,11.486000000000001,1,1993,11.486
Slovenia,3.956,1,1993,3.956
Spain,56.060000000000002,1,1993,56.06
Sweden,61.395000000000003,1,1993,61.395
Switzerland,23.188421049999999,1,1993,23.18842105
Turkey,-10,1,1993,0
Ukraine,75.242999999999995,1,1993,75.243
United Kingdom,89.369106799999997,1,1993,89.3691068
Azerbaijan,-10,1,1993,0
Belarus,-10,1,1993,0
Kazakhstan,0.44635940000000002,1,1993,0.4463594
Russian Federation,119.18600000000001,1,1993,119.186
Turkmenistan,-10,1,1993,0
USSR,,1,1993,
Uzbekistan,-10,1,1993,0
Iran,-10,1,1993,0
Iraq,-10,1,1993,0
Israel,-10,1,1993,0
Kuwait,-10,1,1993,0
Oman,-10,1,1993,0
Qatar,-10,1,1993,0
Saudi Arabia,-10,1,1993,0
United Arab Emirates,-10,1,1993,0
Algeria,-10,1,1993,0
Egypt,-10,1,1993,0
Morocco,-10,1,1993,0
South Africa,7.2550000529999998,1,1993,7.255000053
Eastern Africa,-10,1,1993,0
Australia,-10,1,1993,0
Bangladesh,-10,1,1993,0
China,1.6042421999999998,1,1993,1.6042422
Hong Kong SAR,-10,1,1993,0
India,6.2269345999999999,1,1993,6.2269346
Indonesia,-10,1,1993,0
Japan,247.699915,1,1993,247.699915
Malaysia,-10,1,1993,0
New Zealand,-10,1,1993,0
Pakistan,0.40658480000000002,1,1993,0.4065848
Philippines,-10,1,1993,0
Singapore,-10,1,1993,0
South Korea,58.138202999999997,1,1993,58.138203
Sri Lanka,-10,1,1993,0
Taiwan,34.354154999999999,1,1993,34.354155
Thailand,-10,1,1993,0
Vietnam,-10,1,1993,0
Canada,107.0842105,1,1994,107.0842105
Mexico,4.2426240000000002,1,1994,4.242624
US,674.14719160000004,1,1994,674.1471916
Argentina,8.2377616000000007,1,1994,8.2377616
Brazil,0.055,1,1994,0.055
Chile,-10,1,1994,0
Colombia,-10,1,1994,0
Ecuador,-10,1,1994,0
Peru,-10,1,1994,0
Trinidad and Tobago,-10,1,1994,0
Venezuela,-10,1,1994,0
Austria,-10,1,1994,0
Belgium,40.624000000000002,1,1994,40.624
Bulgaria,15.335000000000001,1,1994,15.335
Croatia,,1,1994,
Cyprus,-10,1,1994,0
Czech Republic,12.979777800000001,1,1994,12.9797778
Denmark,-10,1,1994,0
Estonia,-10,1,1994,0
Finland,19.292631579999998,1,1994,19.29263158
France,359.98099999999999,1,1994,359.981
Germany,151.19999999999999,1,1994,151.2
Greece,-10,1,1994,0
Hungary,14.048999999999999,1,1994,14.049
Iceland,-10,1,1994,0
Ireland,-10,1,1994,0
Italy,-10,1,1994,0
Latvia,-10,1,1994,0
Lithuania,7.7059999999999995,1,1994,7.706
Luxembourg,-10,1,1994,0
Netherlands,3.9670000000000001,1,1994,3.967
North Macedonia,,1,1994,
Norway,-10,1,1994,0
Poland,-10,1,1994,0
Portugal,-10,1,1994,0
Romania,-10,1,1994,0
Slovakia,12.595000000000001,1,1994,12.595
Slovenia,4.609,1,1994,4.609
Spain,55.313000000000002,1,1994,55.313
Sweden,73.156000000000006,1,1994,73.156
Switzerland,24.193684210000001,1,1994,24.19368421
Turkey,-10,1,1994,0
Ukraine,68.847999999999999,1,1994,68.848
United Kingdom,88.299611999999996,1,1994,88.299612
Azerbaijan,-10,1,1994,0
Belarus,-10,1,1994,0
Kazakhstan,0.38006839999999997,1,1994,0.3800684
Russian Federation,97.819999999999993,1,1994,97.82
Turkmenistan,-10,1,1994,0
USSR,,1,1994,
Uzbekistan,-10,1,1994,0
Iran,-10,1,1994,0
Iraq,-10,1,1994,0
Israel,-10,1,1994,0
Kuwait,-10,1,1994,0
Oman,-10,1,1994,0
Qatar,-10,1,1994,0
Saudi Arabia,-10,1,1994,0
United Arab Emirates,-10,1,1994,0
Algeria,-10,1,1994,0
Egypt,-10,1,1994,0
Morocco,-10,1,1994,0
South Africa,9.6969998539999995,1,1994,9.696999854
Eastern Africa,-10,1,1994,0
Australia,-10,1,1994,0
Bangladesh,-10,1,1994,0
China,14.760795999999999,1,1994,14.760796
Hong Kong SAR,-10,1,1994,0
India,4.9453085999999997,1,1994,4.9453086
Indonesia,-10,1,1994,0
Japan,258.24798600000003,1,1994,258.247986
Malaysia,-10,1,1994,0
New Zealand,-10,1,1994,0
Pakistan,0.58778019999999997,1,1994,0.5877802
Philippines,-10,1,1994,0
Singapore,-10,1,1994,0
South Korea,58.650917999999997,1,1994,58.650918
Sri Lanka,-10,1,1994,0
Taiwan,34.870545,1,1994,34.870545
Thailand,-10,1,1994,0
Vietnam,-10,1,1994,0
Canada,97.164210530000005,1,1995,97.16421053
Mexico,8.4454734000000009,1,1995,8.4454734
US,708.84433999999999,1,1995,708.84434
Argentina,7.0666206000000003,1,1995,7.0666206
Brazil,2.5190000000000001,1,1995,2.519
Chile,-10,1,1995,0
Colombia,-10,1,1995,0
Ecuador,-10,1,1995,0
Peru,-10,1,1995,0
Trinidad and Tobago,-10,1,1995,0
Venezuela,-10,1,1995,0
Austria,-10,1,1995,0
Belgium,41.356000000000002,1,1995,41.356
Bulgaria,17.260999999999999,1,1995,17.261
Croatia,,1,1995,
Cyprus,-10,1,1995,0
Czech Republic,12.2328992,1,1995,12.2328992
Denmark,-10,1,1995,0
Estonia,-10,1,1995,0
Finland,19.082105259999999,1,1995,19.08210526
France,377.23099999999999,1,1995,377.231
Germany,154.09999999999999,1,1995,154.1
Greece,-10,1,1995,0
Hungary,14.026,1,1995,14.026
Iceland,-10,1,1995,0
Ireland,-10,1,1995,0
Italy,-10,1,1995,0
Latvia,-10,1,1995,0
Lithuania,11.821999999999999,1,1995,11.822
Luxembourg,-10,1,1995,0
Netherlands,4.0179999999999998,1,1995,4.018
North Macedonia,,1,1995,
Norway,-10,1,1995,0
Poland,-10,1,1995,0
Portugal,-10,1,1995,0
Romania,-10,1,1995,0
Slovakia,11.436999999999999,1,1995,11.437
Slovenia,4.7789999999999999,1,1995,4.779
Spain,55.454999999999998,1,1995,55.455
Sweden,69.935000000000002,1,1995,69.935
Switzerland,24.722105259999999,1,1995,24.72210526
Turkey,-10,1,1995,0
Ukraine,70.522999999999996,1,1995,70.523
United Kingdom,88.980199600000006,1,1995,88.9801996
Azerbaijan,-10,1,1995,0
Belarus,-10,1,1995,0
Kazakhstan,0.0795492,1,1995,0.0795492
Russian Federation,99.531999999999996,1,1995,99.532
Turkmenistan,-10,1,1995,0
USSR,,1,1995,
Uzbekistan,-10,1,1995,0
Iran,-10,1,1995,0
Iraq,-10,1,1995,0
Israel,-10,1,1995,0
Kuwait,-10,1,1995,0
Oman,-10,1,1995,0
Qatar,-10,1,1995,0
Saudi Arabia,-10,1,1995,0
United Arab Emirates,-10,1,1995,0
Algeria,-10,1,1995,0
Egypt,-10,1,1995,0
Morocco,-10,1,1995,0
South Africa,11.300999429999999,1,1995,11.30099943
Eastern Africa,-10,1,1995,0
Australia,-10,1,1995,0
Bangladesh,-10,1,1995,0
China,12.833937600000001,1,1995,12.8339376
Hong Kong SAR,-10,1,1995,0
India,7.6146262,1,1995,7.6146262
Indonesia,-10,1,1995,0
