Number of Records,Oil_Year,Oil_Value,Countries
1,01/01/1965,0.074428973,United Arab Emirates
1,01/01/1965,1.324613237,Algeria
1,01/01/1965,6.998606382,Egypt
1,01/01/1965,0.99277428,Morocco
1,01/01/1965,5.791761847,South Africa
1,01/01/1965,5.622511912,Eastern Africa
1,01/01/1965,15.57330042,Australia
1,01/01/1965,,Bangladesh
1,01/01/1965,11.097380601,China
1,01/01/1965,2.138565943,China Hong Kong SAR
1,01/01/1965,12.63930632,India
1,01/01/1965,6.237628738,Indonesia
1,01/01/1965,87.168556224,Japan
1,01/01/1965,2.331753462,Malaysia
1,01/01/1965,2.80620622,New Zealand
1,01/01/1965,3.862483352,Pakistan
1,01/01/1965,4.272303048,Philippines
1,01/01/1965,4.11362735,Singapore
1,01/01/1965,1.3004802,South Korea
1,01/01/1965,0.471572368,Sri Lanka
1,01/01/1965,2.208785325,Taiwan
1,01/01/1965,2.381457414,Thailand
1,01/01/1965,1.548713707,Vietnam
1,01/01/1966,58.234069026,Canada
1,01/01/1966,16.07858694,Mexico
1,01/01/1966,594.152485639,US
1,01/01/1966,23.092416339,Argentina
1,01/01/1966,16.663594081,Brazil
1,01/01/1966,3.916447834,Chile
1,01/01/1966,4.512251732,Colombia
1,01/01/1966,0.71107046,Ecuador
1,01/01/1966,4.811872489,Peru
1,01/01/1966,1.922066515,Trinidad & Tobago
1,01/01/1966,9.467351508,Venezuela
1,01/01/1966,6.172730725,Austria
1,01/01/1966,16.531411603,Belgium
1,01/01/1966,4.288401404,Bulgaria
1,01/01/1966,,Croatia
1,01/01/1966,0.459039768,Cyprus
1,01/01/1966,4.46620622,Czech Republic
1,01/01/1966,12.058272141,Denmark
1,01/01/1966,,Estonia
1,01/01/1966,7.039094296,Finland
1,01/01/1966,58.738007046,France
1,01/01/1966,98.17989283,Germany
1,01/01/1966,4.907702876,Greece
1,01/01/1966,4.181101796,Hungary
1,01/01/1966,0.520306033,Iceland
1,01/01/1966,2.741319934,Ireland
1,01/01/1966,57.904959946,Italy
1,01/01/1966,,Latvia
1,01/01/1966,,Lithuania
1,01/01/1966,0.962130075,Luxembourg
1,01/01/1966,27.590493026,Netherlands
1,01/01/1966,,North Macedonia
1,01/01/1966,5.85421434,Norway
1,01/01/1966,5.761696284,Poland
1,01/01/1966,2.690673545,Portugal
1,01/01/1966,7.578448696,Romania
1,01/01/1966,2.566717971,Slovakia
1,01/01/1966,,Slovenia
1,01/01/1966,16.924627974,Spain
1,01/01/1966,22.326455295,Sweden
1,01/01/1966,8.810667956,Switzerland
1,01/01/1966,4.309209922,Turkey
1,01/01/1966,,Ukraine
1,01/01/1966,81.592075356,United Kingdom
1,01/01/1966,,Azerbaijan
1,01/01/1966,,Belarus
1,01/01/1966,,Kazakhstan
1,01/01/1966,,Russian Federation
1,01/01/1966,,Turkmenistan
1,01/01/1966,183.684213633,USSR
1,01/01/1966,,Uzbekistan
1,01/01/1966,7.906387122,Iran
1,01/01/1966,1.435450645,Iraq
1,01/01/1966,4.101789973,Israel
1,01/01/1966,5.359920105,Kuwait
1,01/01/1966,0.474658474,Oman
1,01/01/1966,0.049182956,Qatar
1,01/01/1966,19.871160313,Saudi Arabia
1,01/01/1966,0.079756221,United Arab Emirates
1,01/01/1966,1.743138889,Algeria
1,01/01/1966,7.509887695,Egypt
1,01/01/1966,1.419876499,Morocco
1,01/01/1966,6.293219189,South Africa
1,01/01/1966,5.922832348,Eastern Africa
1,01/01/1966,18.404776607,Australia
1,01/01/1966,,Bangladesh
1,01/01/1966,14.256226211,China
1,01/01/1966,2.346779191,China Hong Kong SAR
1,01/01/1966,14.114332044,India
1,01/01/1966,6.007262683,Indonesia
1,01/01/1966,99.317171229,Japan
1,01/01/1966,2.716700371,Malaysia
1,01/01/1966,3.106920082,New Zealand
1,01/01/1966,3.965338994,Pakistan
1,01/01/1966,4.66095985,Philippines
1,01/01/1966,4.702113046,Singapore
1,01/01/1966,1.947148968,South Korea
1,01/01/1966,0.482950912,Sri Lanka
1,01/01/1966,2.612964484,Taiwan
1,01/01/1966,2.810960017,Thailand
1,01/01/1966,3.384719515,Vietnam
1,01/01/1967,62.175940432,Canada
1,01/01/1967,17.220665878,Mexico
1,01/01/1967,617.120100342,US
1,01/01/1967,23.661790743,Argentina
1,01/01/1967,17.196193776,Brazil
1,01/01/1967,4.088606051,Chile
1,01/01/1967,4.551966271,Colombia
1,01/01/1967,0.767940265,Ecuador
1,01/01/1967,4.8498955,Peru
1,01/01/1967,2.005316799,Trinidad & Tobago
1,01/01/1967,9.659686527,Venezuela
1,01/01/1967,6.581952876,Austria
1,01/01/1967,18.2314395,Belgium
1,01/01/1967,5.393159931,Bulgaria
1,01/01/1967,,Croatia
1,01/01/1967,0.497614336,Cyprus
1,01/01/1967,4.969830682,Czech Republic
1,01/01/1967,12.752920178,Denmark
1,01/01/1967,,Estonia
1,01/01/1967,7.375115649,Finland
1,01/01/1967,67.479791225,France
1,01/01/1967,102.099881294,Germany
1,01/01/1967,5.770664851,Greece
1,01/01/1967,4.423877424,Hungary
1,01/01/1967,0.50486178,Iceland
1,01/01/1967,3.069276966,Ireland
1,01/01/1967,64.089844559,Italy
1,01/01/1967,,Latvia
1,01/01/1967,,Lithuania
1,01/01/1967,1.062600506,Luxembourg
1,01/01/1967,28.200059735,Netherlands
1,01/01/1967,,North Macedonia
1,01/01/1967,6.061080921,Norway
1,01/01/1967,6.252826025,Poland
1,01/01/1967,2.96853843,Portugal
1,01/01/1967,8.587824592,Romania
1,01/01/1967,2.855815396,Slovakia
1,01/01/1967,,Slovenia
1,01/01/1967,20.505598166,Spain
1,01/01/1967,22.251107727,Sweden
1,01/01/1967,9.529876302,Switzerland
1,01/01/1967,5.060000334,Turkey
1,01/01/1967,,Ukraine
1,01/01/1967,87.685170775,United Kingdom
1,01/01/1967,,Azerbaijan
1,01/01/1967,,Belarus
1,01/01/1967,,Kazakhstan
1,01/01/1967,,Russian Federation
1,01/01/1967,,Turkmenistan
1,01/01/1967,200.132727277,USSR
1,01/01/1967,,Uzbekistan
1,01/01/1967,8.730314194,Iran
1,01/01/1967,1.553931039,Iraq
1,01/01/1967,4.275626792,Israel
1,01/01/1967,5.236394406,Kuwait
1,01/01/1967,0.495252078,Oman
1,01/01/1967,0.074447741,Qatar
1,01/01/1967,20.040209754,Saudi Arabia
1,01/01/1967,0.086131759,United Arab Emirates
1,01/01/1967,1.628721506,Algeria
1,01/01/1967,6.13264283,Egypt
1,01/01/1967,1.559945566,Morocco
1,01/01/1967,6.858962215,South Africa
1,01/01/1967,6.230133791,Eastern Africa
1,01/01/1967,20.153720264,Australia
1,01/01/1967,,Bangladesh
1,01/01/1967,14.075051185,China
1,01/01/1967,2.812059668,China Hong Kong SAR
1,01/01/1967,14.562358388,India
1,01/01/1967,5.795597497,Indonesia
1,01/01/1967,121.923332569,Japan
1,01/01/1967,2.748451022,Malaysia
1,01/01/1967,3.263268128,New Zealand
1,01/01/1967,4.432321725,Pakistan
1,01/01/1967,5.2565562,Philippines
1,01/01/1967,5.65099984,Singapore
1,01/01/1967,3.375506712,South Korea
1,01/01/1967,0.494645839,Sri Lanka
1,01/01/1967,3.103427797,Taiwan
1,01/01/1967,3.11987549,Thailand
1,01/01/1967,4.95721568,Vietnam
1,01/01/1968,66.190291941,Canada
1,01/01/1968,18.726044712,Mexico
1,01/01/1968,659.945528341,US
1,01/01/1968,24.162293833,Argentina
1,01/01/1968,20.653151858,Brazil
1,01/01/1968,4.308299351,Chile
1,01/01/1968,5.08107132,Colombia
1,01/01/1968,0.917639056,Ecuador
1,01/01/1968,4.868976166,Peru
1,01/01/1968,2.043747861,Trinidad & Tobago
1,01/01/1968,10.522210725,Venezuela
1,01/01/1968,7.606712573,Austria
1,01/01/1968,21.165882631,Belgium
1,01/01/1968,6.39192677,Bulgaria
1,01/01/1968,,Croatia
1,01/01/1968,0.552644167,Cyprus
1,01/01/1968,5.489264761,Czech Republic
1,01/01/1968,13.861735598,Denmark
1,01/01/1968,,Estonia
1,01/01/1968,8.359991855,Finland
1,01/01/1968,73.123959062,France
1,01/01/1968,114.455952971,Germany
1,01/01/1968,5.906539577,Greece
1,01/01/1968,4.636332282,Hungary
1,01/01/1968,0.539063891,Iceland
1,01/01/1968,3.41393095,Ireland
1,01/01/1968,70.666752603,Italy
1,01/01/1968,,Latvia
1,01/01/1968,,Lithuania
1,01/01/1968,1.172969428,Luxembourg
1,01/01/1968,30.417723058,Netherlands
1,01/01/1968,,North Macedonia
1,01/01/1968,6.741729722,Norway
1,01/01/1968,7.823566686,Poland
1,01/01/1968,3.184593938,Portugal
1,01/01/1968,9.057029951,Romania
1,01/01/1968,3.155878069,Slovakia
1,01/01/1968,,Slovenia
1,01/01/1968,21.77993126,Spain
1,01/01/1968,25.168543544,Sweden
1,01/01/1968,10.57030589,Switzerland
1,01/01/1968,6.079391421,Turkey
1,01/01/1968,,Ukraine
1,01/01/1968,92.819936777,United Kingdom
1,01/01/1968,,Azerbaijan
1,01/01/1968,,Belarus
1,01/01/1968,,Kazakhstan
1,01/01/1968,,Russian Federation
1,01/01/1968,,Turkmenistan
1,01/01/1968,213.337581168,USSR
1,01/01/1968,,Uzbekistan
1,01/01/1968,9.618555263,Iran
1,01/01/1968,1.68428109,Iraq
1,01/01/1968,4.458513817,Israel
1,01/01/1968,5.118605502,Kuwait
1,01/01/1968,0.517874678,Oman
1,01/01/1968,0.096273789,Qatar
1,01/01/1968,20.211397034,Saudi Arabia
1,01/01/1968,0.096363933,United Arab Emirates
1,01/01/1968,1.734075786,Algeria
1,01/01/1968,6.41442462,Egypt
1,01/01/1968,1.711878283,Morocco
1,01/01/1968,7.455717756,South Africa
1,01/01/1968,6.489168287,Eastern Africa
1,01/01/1968,21.950557848,Australia
1,01/01/1968,,Bangladesh
1,01/01/1968,15.394202541,China
1,01/01/1968,3.071251882,China Hong Kong SAR
1,01/01/1968,16.317359893,India
1,01/01/1968,6.130636739,Indonesia
1,01/01/1968,141.530446331,Japan
1,01/01/1968,2.786259724,Malaysia
1,01/01/1968,3.353050086,New Zealand
1,01/01/1968,5.048179732,Pakistan
1,01/01/1968,6.003059998,Philippines
1,01/01/1968,7.021905248,Singapore
1,01/01/1968,4.990514092,South Korea
1,01/01/1968,0.506478917,Sri Lanka
1,01/01/1968,3.701331399,Taiwan
1,01/01/1968,4.11250953,Thailand
1,01/01/1968,5.057102007,Vietnam
1,01/01/1969,68.920491163,Canada
1,01/01/1969,19.790064369,Mexico
1,01/01/1969,695.892017364,US
1,01/01/1969,25.105911774,Argentina
1,01/01/1969,22.662743933,Brazil
1,01/01/1969,4.587647688,Chile
1,01/01/1969,4.881351403,Colombia
1,01/01/1969,0.971027587,Ecuador
1,01/01/1969,4.798639278,Peru
1,01/01/1969,2.142586976,Trinidad & Tobago
1,01/01/1969,10.39532298,Venezuela
1,01/01/1969,8.359930735,Austria
1,01/01/1969,24.420202852,Belgium
1,01/01/1969,7.848563103,Bulgaria
1,01/01/1969,,Croatia
1,01/01/1969,0.652604782,Cyprus
1,01/01/1969,5.889332163,Czech Republic
1,01/01/1969,16.666084145,Denmark
1,01/01/1969,,Estonia
1,01/01/1969,9.709562243,Finland
1,01/01/1969,84.494197287,France
1,01/01/1969,128.713820675,Germany
1,01/01/1969,6.2849652,Greece
1,01/01/1969,5.186065492,Hungary
1,01/01/1969,0.494368014,Iceland
1,01/01/1969,3.710527515,Ireland
1,01/01/1969,77.839234451,Italy
1,01/01/1969,,Latvia
1,01/01/1969,,Lithuania
1,01/01/1969,1.298756735,Luxembourg
1,01/01/1969,33.176042992,Netherlands
1,01/01/1969,,North Macedonia
1,01/01/1969,7.410975471,Norway
1,01/01/1969,8.60516146,Poland
1,01/01/1969,3.342099575,Portugal
1,01/01/1969,10.096885688,Romania
1,01/01/1969,3.385533128,Slovakia
1,01/01/1969,,Slovenia
1,01/01/1969,24.796324186,Spain
1,01/01/1969,26.957442217,Sweden
1,01/01/1969,11.49465267,Switzerland
1,01/01/1969,6.76343243,Turkey
1,01/01/1969,,Ukraine
1,01/01/1969,99.771298462,United Kingdom
1,01/01/1969,,Azerbaijan
1,01/01/1969,,Belarus
1,01/01/1969,,Kazakhstan
1,01/01/1969,,Russian Federation
1,01/01/1969,,Turkmenistan
1,01/01/1969,226.859757318,USSR
1,01/01/1969,,Uzbekistan
1,01/01/1969,10.492007745,Iran
1,01/01/1969,1.820591403,Iraq
1,01/01/1969,4.649858342,Israel
1,01/01/1969,5.00560902,Kuwait
1,01/01/1969,0.539461164,Oman
1,01/01/1969,0.111817713,Qatar
1,01/01/1969,20.384395457,Saudi Arabia
1,01/01/1969,0.106780704,United Arab Emirates
1,01/01/1969,1.831980224,Algeria
1,01/01/1969,4.761707987,Egypt
1,01/01/1969,1.853068376,Morocco
1,01/01/1969,8.196488655,South Africa
1,01/01/1969,6.873377728,Eastern Africa
1,01/01/1969,22.566476689,Australia
1,01/01/1969,,Bangladesh
1,01/01/1969,20.640097186,China
1,01/01/1969,3.644132397,China Hong Kong SAR
1,01/01/1969,19.598352011,India
1,01/01/1969,6.563549561,Indonesia
1,01/01/1969,167.578231131,Japan
1,01/01/1969,2.874963649,Malaysia
1,01/01/1969,3.482812434,New Zealand
1,01/01/1969,4.734605618,Pakistan
1,01/01/1969,6.433566925,Philippines
1,01/01/1969,6.903149308,Singapore
1,01/01/1969,6.773072752,South Korea
1,01/01/1969,0.518211892,Sri Lanka
1,01/01/1969,4.432443441,Taiwan
1,01/01/1969,4.453973178,Thailand
1,01/01/1969,6.112091872,Vietnam
1,01/01/1970,73.49959198,Canada
1,01/01/1970,21.278996131,Mexico
1,01/01/1970,723.721235103,US
1,01/01/1970,22.541685474,Argentina
1,01/01/1970,25.74039401,Brazil
1,01/01/1970,4.842836393,Chile
1,01/01/1970,5.529793024,Colombia
1,01/01/1970,1.107278136,Ecuador
1,01/01/1970,5.039037221,Peru
1,01/01/1970,2.197838506,Trinidad & Tobago
1,01/01/1970,10.875303803,Venezuela
1,01/01/1970,9.204096852,Austria
1,01/01/1970,26.639350697,Belgium
1,01/01/1970,9.117733711,Bulgaria
1,01/01/1970,,Croatia
1,01/01/1970,0.688291416,Cyprus
1,01/01/1970,7.078990016,Czech Republic
1,01/01/1970,18.538227501,Denmark
1,01/01/1970,,Estonia
1,01/01/1970,10.918137623,Finland
1,01/01/1970,95.987177534,France
1,01/01/1970,141.364603349,Germany
1,01/01/1970,6.807172351,Greece
1,01/01/1970,6.023528709,Hungary
1,01/01/1970,0.505213672,Iceland
1,01/01/1970,4.163919055,Ireland
1,01/01/1970,88.05323973,Italy
1,01/01/1970,,Latvia
1,01/01/1970,,Lithuania
1,01/01/1970,1.377755016,Luxembourg
1,01/01/1970,36.890053693,Netherlands
1,01/01/1970,,North Macedonia
1,01/01/1970,8.342526918,Norway
1,01/01/1970,9.100911197,Poland
1,01/01/1970,4.616947795,Portugal
1,01/01/1970,10.94295739,Romania
1,01/01/1970,4.068565874,Slovakia
1,01/01/1970,,Slovenia
1,01/01/1970,28.287682287,Spain
1,01/01/1970,29.33293956,Sweden
1,01/01/1970,12.881994244,Switzerland
1,01/01/1970,7.165785397,Turkey
1,01/01/1970,,Ukraine
1,01/01/1970,105.656445352,United Kingdom
1,01/01/1970,,Azerbaijan
1,01/01/1970,,Belarus
1,01/01/1970,,Kazakhstan
1,01/01/1970,,Russian Federation
1,01/01/1970,,Turkmenistan
1,01/01/1970,249.737015427,USSR
1,01/01/1970,,Uzbekistan
1,01/01/1970,11.325769761,Iran
1,01/01/1970,2.461901595,Iraq
1,01/01/1970,4.847957109,Israel
1,01/01/1970,4.897577022,Kuwait
1,01/01/1970,0.564188712,Oman
1,01/01/1970,0.096641206,Qatar
1,01/01/1970,21.280649396,Saudi Arabia
1,01/01/1970,0.123212453,United Arab Emirates
1,01/01/1970,2.093523717,Algeria
1,01/01/1970,6.162160027,Egypt
1,01/01/1970,1.939594216,Morocco
1,01/01/1970,8.882218687,South Africa
1,01/01/1970,7.187869757,Eastern Africa
1,01/01/1970,24.952314847,Australia
1,01/01/1970,,Bangladesh
1,01/01/1970,28.550778017,China
1,01/01/1970,3.932712435,China Hong Kong SAR
1,01/01/1970,19.509152814,India
1,01/01/1970,6.964115792,Indonesia
1,01/01/1970,197.481329512,Japan
1,01/01/1970,3.172127939,Malaysia
1,01/01/1970,4.093711498,New Zealand
1,01/01/1970,4.684014856,Pakistan
1,01/01/1970,7.315284895,Philippines
1,01/01/1970,7.495312362,Singapore
1,01/01/1970,8.460101223,South Korea
1,01/01/1970,1.03626657,Sri Lanka
1,01/01/1970,5.322958178,Taiwan
1,01/01/1970,5.185129837,Thailand
1,01/01/1970,6.336598281,Vietnam
1,01/01/1971,75.4815471,Canada
1,01/01/1971,22.565500621,Mexico
1,01/01/1971,748.587031957,US
1,01/01/1971,24.073526225,Argentina
1,01/01/1971,28.389699065,Brazil
1,01/01/1971,5.364534967,Chile
1,01/01/1971,5.719522738,Colombia
1,01/01/1971,1.223773025,Ecuador
1,01/01/1971,4.987879072,Peru
1,01/01/1971,2.271146293,Trinidad & Tobago
1,01/01/1971,10.978082309,Venezuela
1,01/01/1971,10.284353062,Austria
1,01/01/1971,27.300639797,Belgium
1,01/01/1971,10.028299441,Bulgaria
1,01/01/1971,,Croatia
1,01/01/1971,0.821024458,Cyprus
1,01/01/1971,7.793612162,Czech Republic
1,01/01/1971,18.301467087,Denmark
1,01/01/1971,,Estonia
1,01/01/1971,11.299991449,Finland
1,01/01/1971,104.621546814,France
1,01/01/1971,147.251226569,Germany
1,01/01/1971,7.519981943,Greece
1,01/01/1971,6.786525389,Hungary
1,01/01/1971,0.550275127,Iceland
1,01/01/1971,4.599586008,Ireland
1,01/01/1971,94.700828986,Italy
1,01/01/1971,,Latvia
1,01/01/1971,,Lithuania
1,01/01/1971,1.434330634,Luxembourg
1,01/01/1971,36.439314297,Netherlands
1,01/01/1971,,North Macedonia
1,01/01/1971,8.254583094,Norway
1,01/01/1971,9.649595108,Poland
1,01/01/1971,5.238676507,Portugal
1,01/01/1971,11.116924023,Romania
1,01/01/1971,4.480489682,Slovakia
1,01/01/1971,,Slovenia
1,01/01/1971,31.135852966,Spain
1,01/01/1971,27.58444448,Sweden
1,01/01/1971,13.66978222,Switzerland
1,01/01/1971,8.494351103,Turkey
1,01/01/1971,,Ukraine
1,01/01/1971,106.215483305,United Kingdom
1,01/01/1971,,Azerbaijan
1,01/01/1971,,Belarus
1,01/01/1971,,Kazakhstan
1,01/01/1971,,Russian Federation
1,01/01/1971,,Turkmenistan
1,01/01/1971,264.76096175,USSR
1,01/01/1971,,Uzbekistan
1,01/01/1971,12.402137717,Iran
1,01/01/1971,2.639276472,Iraq
1,01/01/1971,5.056073493,Israel
1,01/01/1971,4.84049133,Kuwait
1,01/01/1971,1.330309783,Oman
1,01/01/1971,0.092820054,Qatar
1,01/01/1971,21.535373896,Saudi Arabia
1,01/01/1971,0.143639773,United Arab Emirates
1,01/01/1971,2.359419628,Algeria
1,01/01/1971,6.369544139,Egypt
1,01/01/1971,2.046997062,Morocco
1,01/01/1971,9.70809401,South Africa
1,01/01/1971,8.58455398,Eastern Africa
1,01/01/1971,26.272103587,Australia
1,01/01/1971,0.699509172,Bangladesh
1,01/01/1971,38.828691435,China
1,01/01/1971,4.148378977,China Hong Kong SAR
1,01/01/1971,20.922825738,India
1,01/01/1971,7.217869781,Indonesia
1,01/01/1971,217.999977931,Japan
1,01/01/1971,3.47406093,Malaysia
1,01/01/1971,4.228416977,New Zealand
1,01/01/1971,4.404694683,Pakistan
1,01/01/1971,8.489806296,Philippines
1,01/01/1971,6.504875657,Singapore
1,01/01/1971,9.55494079,South Korea
1,01/01/1971,0.94372154,Sri Lanka
1,01/01/1971,7.450605236,Taiwan
1,01/01/1971,5.772345156,Thailand
1,01/01/1971,5.360566178,Vietnam
1,01/01/1972,79.478320627,Canada
1,01/01/1972,25.409552427,Mexico
1,01/01/1972,808.809996746,US
1,01/01/1972,24.106384494,Argentina
1,01/01/1972,32.709014818,Brazil
1,01/01/1972,5.682831184,Chile
1,01/01/1972,6.48558393,Colombia
1,01/01/1972,1.258086964,Ecuador
1,01/01/1972,4.269322681,Peru
1,01/01/1972,3.686299107,Trinidad & Tobago
1,01/01/1972,11.973582028,Venezuela
1,01/01/1972,11.102568716,Austria
1,01/01/1972,29.533316805,Belgium
1,01/01/1972,10.428596398,Bulgaria
1,01/01/1972,,Croatia
1,01/01/1972,0.923217875,Cyprus
1,01/01/1972,8.527172972,Czech Republic
1,01/01/1972,19.362982684,Denmark
1,01/01/1972,,Estonia
1,01/01/1972,12.025789075,Finland
1,01/01/1972,116.16140642,France
1,01/01/1972,155.444232994,Germany
1,01/01/1972,8.711368706,Greece
1,01/01/1972,7.394100053,Hungary
1,01/01/1972,0.589589472,Iceland
1,01/01/1972,5.063153435,Ireland
1,01/01/1972,99.419744292,Italy
1,01/01/1972,,Latvia
1,01/01/1972,,Lithuania
1,01/01/1972,1.506183243,Luxembourg
1,01/01/1972,40.650790962,Netherlands
1,01/01/1972,,North Macedonia
1,01/01/1972,8.645936706,Norway
1,01/01/1972,10.830416738,Poland
1,01/01/1972,5.698237664,Portugal
1,01/01/1972,11.866599551,Romania
1,01/01/1972,4.901102298,Slovakia
1,01/01/1972,,Slovenia
1,01/01/1972,32.830148897,Spain
1,01/01/1972,28.31342198,Sweden
1,01/01/1972,14.014573732,Switzerland
1,01/01/1972,9.629100268,Turkey
1,01/01/1972,,Ukraine
1,01/01/1972,112.623430209,United Kingdom
1,01/01/1972,,Azerbaijan
1,01/01/1972,,Belarus
1,01/01/1972,,Kazakhstan
1,01/01/1972,,Russian Federation
1,01/01/1972,,Turkmenistan
1,01/01/1972,287.15916228,USSR
1,01/01/1972,,Uzbekistan
1,01/01/1972,13.789474399,Iran
1,01/01/1972,3.26871276,Iraq
1,01/01/1972,5.281297793,Israel
1,01/01/1972,5.262763853,Kuwait
1,01/01/1972,1.519967039,Oman
1,01/01/1972,0.110480295,Qatar
1,01/01/1972,23.01320441,Saudi Arabia
1,01/01/1972,0.188748925,United Arab Emirates
1,01/01/1972,2.589975423,Algeria
1,01/01/1972,7.27879507,Egypt
1,01/01/1972,2.177986099,Morocco
1,01/01/1972,10.581438951,South Africa
1,01/01/1972,8.920355456,Eastern Africa
1,01/01/1972,26.744054648,Australia
1,01/01/1972,0.85288201,Bangladesh
1,01/01/1972,44.685855474,China
1,01/01/1972,4.729398037,China Hong Kong SAR
1,01/01/1972,22.560899159,India
1,01/01/1972,7.805992166,Indonesia
1,01/01/1972,232.906215152,Japan
1,01/01/1972,3.859933026,Malaysia
1,01/01/1972,4.552291679,New Zealand
1,01/01/1972,3.635443155,Pakistan
1,01/01/1972,8.332095371,Philippines
1,01/01/1972,8.147270374,Singapore
1,01/01/1972,9.973599838,South Korea
1,01/01/1972,1.030963037,Sri Lanka
1,01/01/1972,8.062882631,Taiwan
1,01/01/1972,7.246150545,Thailand
1,01/01/1972,5.550254672,Vietnam
1,01/01/1974,85.301382559,Canada
1,01/01/1974,30.718159215,Mexico
1,01/01/1974,819.627912383,US
1,01/01/1974,24.273772117,Argentina
1,01/01/1974,43.251884582,Brazil
1,01/01/1974,5.177742954,Chile
1,01/01/1974,6.910701825,Colombia
1,01/01/1974,1.594693513,Ecuador
1,01/01/1974,5.997525294,Peru
1,01/01/1974,3.653066447,Trinidad & Tobago
1,01/01/1974,13.158698826,Venezuela
1,01/01/1974,10.767642209,Austria
1,01/01/1974,27.31590845,Belgium
1,01/01/1974,11.434825284,Bulgaria
1,01/01/1974,,Croatia
1,01/01/1974,0.878167168,Cyprus
1,01/01/1974,9.829845801,Czech Republic
1,01/01/1974,16.209292061,Denmark
1,01/01/1974,,Estonia
1,01/01/1974,11.723720885,Finland
1,01/01/1974,123.042795022,France
1,01/01/1974,150.346022404,Germany
1,01/01/1974,9.515223345,Greece
1,01/01/1974,9.10765236,Hungary
1,01/01/1974,0.637147607,Iceland
1,01/01/1974,5.433990972,Ireland
1,01/01/1974,101.81238127,Italy
1,01/01/1974,,Latvia
1,01/01/1974,,Lithuania
1,01/01/1974,1.505136453,Luxembourg
1,01/01/1974,35.969514164,Netherlands
1,01/01/1974,,North Macedonia
1,01/01/1974,7.992942319,Norway
1,01/01/1974,12.652357218,Poland
1,01/01/1974,6.67710626,Portugal
1,01/01/1974,12.291622815,Romania
1,01/01/1974,5.650801734,Slovakia
1,01/01/1974,,Slovenia
1,01/01/1974,41.336317546,Spain
1,01/01/1974,25.994711249,Sweden
1,01/01/1974,13.422777563,Switzerland
1,01/01/1974,11.424879765,Turkey
1,01/01/1974,,Ukraine
1,01/01/1974,107.383172208,United Kingdom
1,01/01/1974,,Azerbaijan
1,01/01/1974,,Belarus
1,01/01/1974,,Kazakhstan
1,01/01/1974,,Russian Federation
1,01/01/1974,,Turkmenistan
1,01/01/1974,339.137628949,USSR
1,01/01/1974,,Uzbekistan
1,01/01/1974,19.171308512,Iran
1,01/01/1974,3.147121015,Iraq
1,01/01/1974,5.700089233,Israel
1,01/01/1974,4.595175982,Kuwait
1,01/01/1974,1.214779306,Oman
1,01/01/1974,0.195862377,Qatar
1,01/01/1974,25.598690426,Saudi Arabia
1,01/01/1974,0.408040508,United Arab Emirates
1,01/01/1974,3.142204715,Algeria
1,01/01/1974,7.557950917,Egypt
1,01/01/1974,2.792837943,Morocco
1,01/01/1974,11.375546933,South Africa
